City,Installer Name,Company,Phone,Email,Services,Google Rating,HPCN Certified,Source,Notes
Abbotsford,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Abbotsford"
Burnaby,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Burnaby"
Chilliwack,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Chilliwack"
Fort St. John,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Fort St. John"
Kamloops,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Kamloops"
Kelowna,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Kelowna"
Nanaimo,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Nanaimo"
Penticton,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Penticton"
Prince George,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Prince George"
Squamish,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Squamish"
Surrey,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Surrey"
Vancouver,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Vancouver"
Vernon,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Vernon"
Victoria,,,,,heat pump|solar|battery,4.5+,yes,Eguana map or Google Maps,"Add installers for Victoria"
