City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Calgary,Calgary Air Heating and Cooling Ltd,"95 Beaconsfield Rise NW, Calgary, AB T3K 1X3, Canada",(403) 720-0003,,https://calgaryair.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjDi_TGWqEsWuE-nC5Wjt2GCbUFPqlKTtd5hLwIhDz0hCBrBE4F6mbZ7wpZn8sX_7rc5TBCv1-zA5fbfG1MT6vPsUmHI_afLgsaRDUi9lb05satbZoIEIAocN6kHY4Pa1L8X26K2Vppkzbovgyc=s4800-w640,5,955,https://maps.google.com/?cid=10168347063651358271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Calgary,AJ Furnace and Air Conditioning,"1515 Highfield Crescent SE Bay 25, Calgary, AB T2G 5M8, Canada",(403) 608-8573,,http://ajfurnace.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjDRXO5vIIBEUbW9n5dKfNis_YqhpKV2NdWywD_v40yuXqZ1MY8nzbdcgDNRl6NzJgFXU6lS3WFkUTiL7zhXZAHTYQ_NzGYj88RuI_n2eljnKUeH5-vq52GjLuauQr4nppP2MQ9xri02_YRy_KhcAxoLfg=s4800-w640,5,620,https://maps.google.com/?cid=8822353675450753482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,Airology Heating and Air Conditioning,"2209 16 St SE, Calgary, AB T2G 3P8, Canada",(587) 837-4111,,http://airology.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9936216088711634213,https://lh3.googleusercontent.com/place-photos/AG9NLjDyJPr4zs5P7oZVW0VRPZ52VGbeXk_hHpBz2pgI7yLgTO5NkFLlNRcCVMhDOXt5euQy1ePIHbUdfeR9-42mjUylqWTd8uoZB8S4s8uFP4sqH3GOIodj-LtHmic0cweWiMcgJUSovOxwT6ECg9BVg1BZUA=s4800-w640,5,157,https://maps.google.com/?cid=8561842190269387299&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,YYC Heating & Cooling Pros,"144 4 Ave SW #2100, Calgary, AB T2P 3N4, Canada",(403) 333-3754,,http://yychvac.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAhbrgIPW7-vke-NMUOBk-_hFTwgc4HLziAi6rHZGy8HJhsL-YFumW4fQzC0QZbXo74v5IOVK9MHrDN79L2ZR2YSDmzqmSyVj1goUVjH2-v0aMzfjYYcKDhESSrQsxm070SWybcDGkUOCTiZMUHRZgcrw=s4800-w640,5,108,https://maps.google.com/?cid=8102691548528472530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,Home Tech Comfort Service,"1411 B 2 St SW, Calgary, AB T2R 0P8, Canada",(587) 330-3042,,https://home-tech24.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjBF1OKmYFKYxtuVns29UuK5jP8Ght0bxCE9X0oK0m6VhvZ3-T_-70H9X1j-Gl-GSpKEkgrV0si4ibfmJrID46GumTwxdmiuDlxlmGTZdediHz35L2_bxLvFMtra62dEzIascoogRcY8FCiE=s4800-w592,5,48,https://maps.google.com/?cid=4122813526547037724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Trust Home Comfort,"9756 27 Ave NW, Edmonton, AB T6N 1B2, Canada",(780) 761-1488,,https://www.trusthomecomfort.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCsBK3xwar1VqnpAGT5cDAkbj8JneQ3gxOggHaC6GRedJQdBcV7SgRy7gSFTjmtp1YXDaTMIgzakAoOKVDpVTS0Oxn6oDoT8iARuI-otWqPIOwc43KcAVA3UQnuZjGYJw30fYxBR2d4uvSqCIsQqM2dcA=s4800-w640,5,779,https://maps.google.com/?cid=5548703788265112597&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Edmonton,Hermes Plumbing & Heating Service Ltd,"12532 72 St NW, Edmonton, AB T5B 1Y6, Canada",(780) 934-7465,,http://www.hermesplumbing.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjAdjJsGKoWV-oNJYcs_fnnsAlmTq5Q0EIv2xz5wUe12OtvN-hiaeb0pRcZOLilmHUvWeUlsvz3gXp_khK68nnF6xx8lBsDH74txeg3LWPdCAoY6dPXXuWa23zE25rrFRV5xoaERXzTiM08nHWA=s4800-w640,5,228,https://maps.google.com/?cid=11086031427004842315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Edmonton Furnace Repair,"12133 38 St NW, Edmonton, AB T5W 2H9, Canada",(825) 474-4328,,https://www.edmontonfurnace.repair/,https://lh3.googleusercontent.com/place-photos/AG9NLjD4qATFUTJoBf7rG5PXW6PBQVGlsCId-JzIQSG8wy9hOPTMU9F14DzmcZF3j1ldNJupoa1pvvDz0FMBTDMn-QFAx-jCvgKWJQm3vUY5-InOULAAfcMcu2fQofUSZW2ldm2qOFoSwJsCkIfYKQ=s4800-w640,5,92,https://maps.google.com/?cid=5138098705203546235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Furnace Family Edmonton,"10351 61 Ave NW, Edmonton, AB T6H 1L1, Canada",(780) 432-6459,,https://www.furnacefamily.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjADE70UF-vQJsspHI7TYWr6Lrjk4aMMMoGwccAx_h1ya7fvElBcM21ZoiY-pm91tUwInzU9yrzv-9KEODMISTYZb8y8iM0yC2X7CPNTGAO3Q-FqB7Mdac05xwXTaMFaGbJmoN8C6OTp2NTcCjSlc2xzUw=s4800-w640,4.9,3845,https://maps.google.com/?cid=17495598699373476494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Legacy Heating and Cooling,"4704 Eleniak Rd NW, Edmonton, AB T6B 2S1, Canada",(780) 733-1256,,http://www.legacyheating.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjBumky9BweOeaudsjwjvXc7ULBnUlUTw0RjlFb_01RH1QeoRsMAOeLJHD2l1GYcCvi2S-9IbqxPTV8MgzlE-1vDHzo_83ximlhtAHZniPHgRvz6Im4vWcaH6cDf69dLpJBfYwoIz3T3aPy17ByJlZuZrA=s4800-w640,4.9,3166,https://maps.google.com/?cid=17853195553909941590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
