City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Calgary,EVOLVsolar,"7350 110 Ave SE Unit 130, Calgary, AB T2C 3B8, Canada",(403) 879-1379,,https://evolvsolar.com/?utm_source=Google&utm_medium=GMB,https://lh3.googleusercontent.com/place-photos/AG9NLjDeLd8p_ExfzK0bg9H2B6QwqzeEHdbJlT1boztMSSNbgyNeOeI9g8FJOhjsZdedcj42uGHEF7zxxHQt-dpVcuLLLojg1HqktIDWfpS4df5Yofj8qXfY6i969ISmRtw8aTHBhMAu0vNJJXs6NQ=s4800-w640,5,200,https://maps.google.com/?cid=10419014027671245198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Calgary,Rocky Mountain Solar Co.,"3645 48 Ave SE, Calgary, AB T2B 3N8, Canada",(403) 226-1745,,https://rockymountainsolarco.ca/?utm_source=google&utm_medium=gmb,https://lh3.googleusercontent.com/place-photos/AG9NLjAy_cAZjdWYokJOS-6JgbJCpTnlEoUhMzvJfWCjhHyjfDrTCdbPmEpVPqllA71pecGkio8F9pJytUEfzx4v0yqqb6rlyGawqBLf05KlJRxHHTYNCQhXYiSfL18QRQO6Sljswqvbg_uw8bpHXXewIwM6jg=s4800-w640,5,106,https://maps.google.com/?cid=14956481298219279344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,LUMI Renewables - Alberta,"4030 8 St SE, Calgary, AB T2G 3A7, Canada",(888) 306-5864,,https://getlumi.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjCeBaUPmCqUoX8Lr-ht_Vo5bu-ki8Jp1Dtf8KxPtrNYvbfk3408ODgFFHKVURQSDhuuJt0vA762TksvyxRqP_RDnSfqu7uGo-TN6GV5sUFfp-L_jjuUrE0GgH2R4sbr1e8fSRXGSc9bvnHlxTQ=s4800-w640,5,105,https://maps.google.com/?cid=3764828065297043897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,Evalence Renewables,"5723 10 St NE #222, Calgary, AB T2E 8W7, Canada",(587) 435-7349,,https://evalence.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjDQ_25YnfvrL_SpciqPZos8Pi2WjA17bm-l8sxvTpxris8s91EtdZXp45TaocJIAK8PpBOjqvDsO-KjZqD1a-iU93Mx2PX_sht5hJGiELH95EgSj9Kc1H9f_CZxB-eIOQEOEHlpkXO5ngWIK6WpK_BE=s4800-w640,5,96,https://maps.google.com/?cid=14438316742265198238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Calgary,E-2 Solutions | Solar Panels & Installations Calgary,"12159 44 St SE, Calgary, AB T2Z 4H3, Canada",(587) 318-6602,,https://e-2solutions.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBbuQ6ImeRPTDPCJiKe7zaTd3kOkgCgqCsThIwZijs5IX1ZZU_vYBEfTgTr0rSCL05blzLlmZHYZgdgIqTFteue9CCp9u9ZlTFtEevIJofCpWui2mBS2XBntwltDAstE7WPE0xG785q_wogR_WUpzZakw=s4800-w640,5,71,https://maps.google.com/?cid=12969730115661770821&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Pro West Solar Systems,"8351 Roper Rd NW, Edmonton, AB T6E 6W2, Canada",(780) 902-3547,,https://prowestsolar.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjDle4Lh-ew6aPzwvgikrw4vGxkj6Kly9ElY27H1eYN_PRDl61OKTGQUpFgtzNVt54SbExxhXFDp_UcxDaWEEB61A-eKvv05B3e4NF8iSdYgbW6tikCZYPAA0YYPCYRGjSpxgrt65dXCnAEnFvyREQYU=s4800-w640,5,225,https://maps.google.com/?cid=8201030753821290810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Edmonton,LightCo Solar Systems,"6543 Gateway Blvd NW, Edmonton, AB T6H 2J1, Canada",(780) 489-0303,,https://lightcosolar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCJ1jlOXrWPv7Vcr3SYWzSfMW5JH67qrvgQjzwc1Czq979L1rQydeCZxwbBC89pl44ruP-5Gyfu5bwh7vMTAYWpnY7DwFqxXfSPbx-iHspKNsCj1eipCJS2dF5ZU4RCKYEWzpUY5PnEZPv52eA=s4800-w628,5,105,https://maps.google.com/?cid=15093544413513004100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Collide Solar Edmonton,"1524 91 St SW, Edmonton, AB T6X 1M5, Canada",,,https://collideenergy.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjBLHeogufx65fucZ5mGK9QDCkBRv9ifXm5cZmYZmrbe9PhFw0h2MZo9KZMT5aXkFQGcb-Krfm6SUw1CSSaqvGl1hfTXm6qEvcb83TMoG7I7e814IBXuvmnIyYKGpsqyC12zdJqNcXDKIY1IkTk=s4800-w640,5,102,https://maps.google.com/?cid=1932756115333531033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Evalence Renewables,"5969 103a St NW, Edmonton, AB T6H 2J7, Canada",(587) 435-7349,,https://www.evalence.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjBFwGtcNDO9gYCDXD06efAgSVFDpV5D4Fug5ss7Nw4gpr69X3MbMCvAExzLl5gN06n3oe49C-8qkuJPdju8xafpV-t3RHnPD-ukHCqzmXGz5rqgZiCD_GbyftL-91BVzTmamE6-OdoMUc28gkUT69pFkg=s4800-w640,5,65,https://maps.google.com/?cid=7947209661812357892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Edmonton,Boreal Energy Solutions,"16760 121 Ave NW Bay # 4, Edmonton, AB T5V 1P6, Canada",(587) 415-8318,,https://www.myboreal.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC5BGxDOq8ftPKAXlYkP5PI4CC2HMU48Dj1l8IB3VTf_hqrVOwFyPelcX1N4oUg1jav6RoVnAV3CQl4BUH9IuB8scD1-Ou3qc5T-ZrxI288dbORWNOGCHsMH5iXTAyYhWOQXuhF2HnZl3MULg=s4800-w640,5,54,https://maps.google.com/?cid=8021698957271279914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
