City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Burbank,North Air,"150 S Glenoaks Blvd, Burbank, CA 91502, USA",(818) 567-0056,,http://northairinc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAfHTKn-VfC5l2tdUEk0dRs4lSmSTFW4o9ztTy7gUUnV236cShdSdbBf8U6W-xeonZviqsqWH_04l5-W3fk2G6HOxkPa6QN2_e89hep_5rmw3_Kg5pnpZRwbwJPosSy8FTfeXc1GyOBFGyNoA=s4800-w640,5,103,https://maps.google.com/?cid=4128143533432386145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Burbank,Purified air heating and Air Conditioning Inc,"4100 W Alameda Ave #300, Burbank, CA 91505, USA",(626) 621-2220,info@purifiedairinc.com,https://purifiedairinc.com/burbank-ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=burbank,https://lh3.googleusercontent.com/place-photos/AG9NLjDZBJB10mJb8-iBR8VmMmvIT0HkcGacb-JkV0meWcFnu4dTgWLEHIukm5xgcsDkherP4P5CW17jPnMzSkGdoJ9hKuowDYs-uMIVi4HFLYEse441KNmaO45zhyNp2uLpcCjqOGmea_dRgtXb6CjRAwRZag=s4800-w640,5,99,https://maps.google.com/?cid=9603733434118662167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burbank,"VHP AIR CONDITIONING & HEATING, Inc.","819 S Main St Ste A, Burbank, CA 91506, USA",(323) 400-0300,,https://www.vhpairconditioning.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAhj__1YAmjnh9tC080dAjJK_VXYRUSI6NWXsZihizvZIqRxnswzpMmU6nNa7QmCMnPw_LuxSXpEs9GZqVlfP9E-MKlxbxGn5FGW4ImPcovyBXDJ_exGKRQD8m0sZtgqUVPOJRICgAe5CBXQw=s4800-w640,5,90,https://maps.google.com/?cid=6214038666487183298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burbank,Rhino Air,"215 W Palm Ave Ste 203, Burbank, CA 91502, USA",(818) 535-8888,info@rhinoair.com,https://www.rhinoair.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjB5nSNyYFIKIDkbtwIjxX_xsIIHxALAr08Hxpb82bEx0q_pAwStLhGXtKi5WFZSsMcEvztQSYB9KDOD1rB9lPT_yaqGCKH4DslB1QRvCxMEW8Z9zu6cuWb2x5qM7V5a2Ime600eD3cRSw5enUh12bOKdQ=s4800-w640,5,88,https://maps.google.com/?cid=16683465137074841306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burbank,Green Planet Heating and Air,"2219 W Olive Ave #227, Burbank, CA 91506, USA",(818) 647-9321,info@greenplanet-hvac.com,https://greenplanet-hvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjAUdC6QBGhz5fJZzoIuj0xSb5B_mettACqFw32QHG0gvgyGUKeXEFLErN6m1pQfA-i2MAo8a_rtBq3gYF8CkOlI-TsP-4bzc1LQZPtHx8AxOMjjoLeYJOg9CYl7uuyzwX3SI7y_dd_G7ZcMyg=s4800-w640,5,75,https://maps.google.com/?cid=10592949908470229439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Ed & Ed Brothers,"1248 S Glendale Ave, Glendale, CA 91205, USA",(818) 567-2221,,http://edandedbrothers.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBM6VEQq82x-c19jkh8cWs5UNBDiB9QEoxWaAynB96A_ByJ0LOxFoY6kvor1uWQ4Rc8p4FYI8m2cB1gV_J98n-NnEeeHRpAVP3U1iCdOVHkIdwr-93K7LIJzuU9njaL5BqvUecUvXaBZjtKsizDbAhFJA=s4800-w640,5,409,https://maps.google.com/?cid=12540254579249348831&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Glendale,So Cal Air,"440 W Dryden St unit f, Glendale, CA 91202, USA",(818) 471-6022,hello@socalair.co,https://socalair.co/,https://lh3.googleusercontent.com/place-photos/AG9NLjDSw8hdfnh_n7J8rJf0j1Q3wuCGJo-wo4FPMqtg19JbHvHIzluNvRI9TscKu4mLs3Y3cFZmKzv9SnWo8jpsn88W56MOoi1fF5TJpZNaoodhLE-p76zRjqLT8cAFi2jUuXcBvcA02luivINdZTuEMU0KDQ=s4800-w640,5,334,https://maps.google.com/?cid=6709935435750178471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,"All City Plumbing, Air & Electrical","221 Allen Ave, Glendale, CA 91201, USA",(818) 527-4055,,https://www.allcityplumbing4u.com/glendale/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=glendalegbp,https://lh3.googleusercontent.com/place-photos/AG9NLjCugnqtQr0M8grA3VxIFeiEIfkFh5CjP3xQVGEa5agI3epoEgGu428LKdQNIJmK4-mXYxNvVVf_3U9J41_Xo3eUU5b7Nm0BbvZ3-OPb6_pv1gzV-BCi1M5We2AMKkU20IJ1ZIOer2axb2c_ROQ=s4800-w640,5,288,https://maps.google.com/?cid=14010321710327018604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Glendale HVAC Installation Contractor,"505 N Brand Blvd #1525, Glendale, CA 91203, USA",(747) 335-1506,,https://havcinstallationcontractor.com/glendale-air-duct-hvac-services/,https://lh3.googleusercontent.com/place-photos/AG9NLjCo8M8GK2WF9YM-mY9-r7QspVFDkinYWbV430PfOXctX64gGpALeNroBGvcZ2cUnDIlH8yBcwQv6Vj0dKNRRZyONVZwonVlgQC-ahluyIxzi2dgikCLuJP6gznQMFOpsTKSxtct55FqT9_C4IAwQ788pg=s4800-w640,5,127,https://maps.google.com/?cid=11110450823922918118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Evans Heating & Air,"2560 Gardner Pl, Glendale, CA 91206, USA",(818) 415-8966,contact@evansheatingcooling.com,https://www.evansheatingcooling.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjDFjrDXb_zJ9KCh8hCO4875yc0o6SS0LGKouoa-msIOGwzX3e1fQgktXO4q5sHHUlumVnpu9L6-Zhyg2isLx9av2c9s4x1XfxUi2UNuu1-P_Seqlt_HVW60p14BQ32iVIvt5ZfpJtF107cSqw=s4800-w640,5,87,https://maps.google.com/?cid=13948594603320060558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
