City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Burbank,Sky Solar Pro,"2316 W Victory Blvd, Burbank, CA 91506, USA",(818) 667-8828,customersupport@skysolarpro.com,https://skysolarpro.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDsHzDUFTSzSyq940_xseGw5dLbwI3ppORVk9Ghfm4aDKHwcK3kCCANVPvHycGDteDkdBPK5C8pXfGu-kIWQlh4BvdXyYFUaM8np8-5nEpeSOtuStvArrE4NtsxH8U0NbmhMOQnyL8nA4LhrA=s4800-w640,5,26,https://maps.google.com/?cid=15172441411928613317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Burbank,Annex Solar,"1036 N Lake St, Burbank, CA 91502, USA",(818) 237-8644,,https://www.annexsolar.us/,https://lh3.googleusercontent.com/place-photos/AG9NLjBhVOHOCjxyXIuT7diTqjkolRMTwZchRK6OKUMB3vPeGV9IT0kcW3sGZzF21kRXiar0yqStGlrENMs3SpiY2h2g5uCj0mIbGe8dyDCABm-FcihHwoe8R_u3hIY9zejVg8baQAMoa5Z0WC-WrXM=s4800-w640,5,11,https://maps.google.com/?cid=14015015132909460758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burbank,VoltGen Energy,"321 N Pass Ave Unit 95, Burbank, CA 91505, USA",(844) 865-8436,,https://voltgenenergy.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCrMq4UtUH2T2jPGNHDGeCqszhsHnCPhFXgzTTZhFsSmolZPLjtvCJ6APLrjC2c9mcMjk5ExGlQF4euA5Qkvs27stFMATLa5PtKTBVHWOTeKFMecZvIpVqFTBETexxIVQgktoPJV2YQra_UXZZD0n81ag=s4800-w640,4.9,14,https://maps.google.com/?cid=1675251567362919961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burbank,LA Solar Solutions,"2600 W Olive Ave, Burbank, CA 91505, USA",(424) 222-4450,info@lasolarsolution.com,http://www.lasolarsolutions.org/,https://lh3.googleusercontent.com/place-photos/AG9NLjD7hdhZIOzGxnJACDo9TBgtl-TaHjjt13Dcxf9A0ZVYu02_kjPiI644luzYTtVj_XRn4apBDauaAKy2VMbl1t1r8Q93PzWV4PFkEawSJ1DR3N2TLoqR0NOv1zZqFNDvlMmA0JXVcQc5KLY0=s4800-w640,4.7,14,https://maps.google.com/?cid=15215685703401381362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Solar G,"500 N Brand Blvd Ste 2140, Glendale, CA 91203, USA",(855) 655-5575,,https://www.solarg.co/,https://lh3.googleusercontent.com/place-photos/AG9NLjDT0tlyrDMZIWeH33BJGBP3BDkQGVJ8j17UDPd1Wmdhc8iQseeSGyn7ZfFqLCjAnmyLfa-o2AWKeRj-QBvQTbNjT0X7aiAoi7vZktPi2gG2sSS-sMld7wRu_0c8cSKsQEW2OgIg8tQsbPMhge8=s4800-w640,5,128,https://maps.google.com/?cid=11414772380620960809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Glendale,American Solar Care,"Professional building, 229 N Central Ave, Glendale, CA 91203, USA",(747) 888-0899,info@americansolarcare.com,https://americansolarcare.com/contact,https://lh3.googleusercontent.com/place-photos/AG9NLjBXJj_XLapGXKcsiR7mcpvG9g9fFYOMiue1govDYefFCtl5odozdIrZ7Q7BipC6ducObU_c3bdYEZXog_J4lVFGgXoynNNBCpNF0d-2JXaNV-MKskH3y__f-0iFf-jfH9Z0u7Qn2urDjonDMnuVqouUhg=s4800-w640,5,28,https://maps.google.com/?cid=16900236947972721465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Energy Solar,"225 E Broadway Unit 202C, Glendale, CA 91205, USA",(818) 650-1464,info@energysolarinc.com,https://www.energysolarinc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjALeCdutZbOhrIW6TW6CMKEVWIBoRXeiACran_IHJmhBpckYIKXx8M-m8zoH_Ndef2PLiebp_LSMH0wRTduY5_DKqdqKVeOFGQO0xj8nwVU6pgQ1-q1y2DlVikYp7nuUaZ_aTTwkqutaD1w=s4800-w640,5,10,https://maps.google.com/?cid=6145472020507875226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Solar Optimum Glendale,"1833 S Victory Blvd, Glendale, CA 91201, USA",(818) 745-1484,info@solaroptimum.com,https://solaroptimum.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD4fVwP961uYIGMHBYpaQ5PtN1xfSZIo8mclQ3RxvDTlzTE31mG-ruakPW7fBpc-D122c9qcLFcIQjzERoCV9kiu-vO8C3ufdkMHuoQJw033Cdq0n7DRXkZnMJ0zeHLO0Fv0qcu4mD2canK3_CChhgUIw=s4800-w640,4.7,383,https://maps.google.com/?cid=15376624426172600756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Glendale,Solar Studios,"3909 San Fernando Rd, Glendale, CA 91204, USA",(310) 489-7801,bookings@solarstudios.com,http://solarstudios.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjByBkNT1dm3v5o0HQr5yKM6Vxlcs5i3YWC54oUBiGSjTXNYZ2e8LTeSvyAly18QtOmVYYy5dNKPW4PdPBjgaI905CCd0D8m5j-a3IGL8464MmstObIbRUd9qH0th_UuGj0E7GaI78L7iAtQ1cvpHytJ=s4800-w640,4.6,21,https://maps.google.com/?cid=9098113199926732071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Long Beach,Guru Solar Cleaning,"767 Euclid Ave, Long Beach, CA 90804, USA",(562) 225-0105,info@gurusolarcleaning.com,https://www.gurusolarcleaning.net/,https://lh3.googleusercontent.com/place-photos/AG9NLjBMQKqVwjDuio34ZGR1pEC4hY_ZYhUf8a9VlpPt4BzMVveVZYn0bLjRAENJe_qGpZvh0ipgV4wBdcKKhvpMMLK1_-5r6Q0DdoyoI85-YHAwHZh3ggjD_-ti3sKdS4f3Tjr0CMgYHaYwHHULmf5zAXOh=s4800-w640,5,162,https://maps.google.com/?cid=5020792466607709840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Long Beach,Solar Source,"2954 E 14th St, Long Beach, CA 90804, USA",(562) 852-5626,,https://solarsourceinc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD2q_rLWF47LEz70GkFYkD6ktyjdzCpWOGXNHAoVhis1PWt-Q4zlVjRMveiXdndE-qrcNIb9AvNkXZfY2V6GxcGl1mBTldmPOGmXEWxzKwUxKnv1z6ZELufeoE-_H8mXLJVWI8P1Eapfdk7=s4800-w640,5,111,https://maps.google.com/?cid=6305167982635711126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Long Beach,JT's Solar and Window Cleaning,"1520 2nd St apt 215, Long Beach, CA 90802, USA",(562) 521-2545,,,https://lh3.googleusercontent.com/place-photos/AG9NLjCjz_c983pBdB7fTM61TMvMBxFTreeVZxNQphbVk-RhdDEQffZ7ZysNzabGOzU80GLz2iH5u28vjKZTx3B3W5noUY8-syJsSrJFv1fZQR81hZwpAZyWg8JdlOYOKo4nZt6X4su7ZnqUQtEdK7niP0pZPA=s4800-w640,5,35,https://maps.google.com/?cid=10328603112928129980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Long Beach,So Cal Solar Shine LLC,"4551 Montair Ave Apt C30, Long Beach, CA 90808, USA",(562) 234-3677,info@scsolarshine.com,https://scsolarshine.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBCnyRuX_G_ErNBdubqXWxrozAbm64wfJrnA4ljQjomym-Okw4cvx02edgyk2sZDkiNCqAr1RlrxGYBLmZ73n90aVnnWTk_uzukd24kqHl8hr8kQK5dALiIT9cXwgE9UAPlyJCy7BnAKO4GFGcv9FLS7g=s4800-w640,5,10,https://maps.google.com/?cid=13992574371369608815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Long Beach,Mario Castillo Electric,"444 W Ocean Blvd #800, Long Beach, CA 90802, USA",(562) 273-4660,sales@mariocastilloelectric.com,https://mariocastilloelectric.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjBtf78LUkf4QnEgnEsRm0XMoDLZBaxl3Ofyo-cceIBp2NNNBsBY1y3OxN7zxDhZ6YOWfOqh5oW8qbckcLFcv7MoxU9rDSDcJa23xC4lkjAHz5U_qqKsK4Gk17O7yxZj5qJatd6IzzXV3jtkiw=s4800-w640,4.9,542,https://maps.google.com/?cid=7462802350279476590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Los Angeles,"Powerfull Solar, Inc","5316 Venice Blvd., Los Angeles, CA 90019, USA",(310) 304-4623,info@powerfullsolarinc.com,https://www.powerfullsolarinc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBjQYyhyZ8HABg1C9h_uMAIHDsy6hfXwqO56nchZIlPjglRZhlxJN3LtetoxBvGf-slQAta9qfyvzd_TpmBmDBv9tRkcoy_DEC2gFK2gToH0IOqm5i7ezx9D2jPIFKPD3MRydpq7qgdoDmLOjA=s4800-w640,5,106,https://maps.google.com/?cid=12718165692389778100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Los Angeles,Smart Solar Panel Cleaning Los Angeles,"3616 Cardiff Ave #104, Los Angeles, CA 90034, USA",(310) 893-3205,smartsolarcleaningla@gmail.com,https://losangelessolarcleaning.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBqerngaLbxFFXxZVa-Pwj-FDf38asrKFmdBVz-cLmeA-I07WPUSJej4cxZg0k4YpsaujlGTrjg0XGLs3uMCyjH5TLalipuLH_k1nfh4YcG7bNBeXA2PGHRvNJ9wOzVd0gBrFKiGEfhvLtdKky3m-QWfw=s4800-w640,5,28,https://maps.google.com/?cid=5116641158694772926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
