City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Denver,Solar RNR,"4771 Fox St, Denver, CO 80216, USA",(720) 410-5554,,https://solarrnr.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD5pvT0zD2efODC5r_f2QRoymYxdecmJHuZHhFyt45wGDVbMnzs6Cu1_AzS5uR-kS7BeL2OAnnWaAT6ntAwQEyZn-2_IFQL2qhfpWis1xvUFry5HHcna7RijARaeFbksGKT4Kno4wYYw4q94Nya21Vv2w=s4800-w640,5,305,https://maps.google.com/?cid=4501634823253567134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Denver,ARE Solar,"1155 S Tejon St, Denver, CO 80223, USA",(720) 706-2773,,https://aresolar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAeSR9jmgdTwB4-9Aw3vftlkofcVY1BoOOD-Yfw8mkxmjKz4srz4T0kBxywcKeovQkj_KH_1tYLJHF8WtfpavJTi6kTbLG9p94CFPOIyr7W5uP8I-zuST3ELemZwvN4JPD1vKS7IR9m26YiEOE=s4800-w640,5,153,https://maps.google.com/?cid=12970427228011063823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Denver,"Solargreen Daylighting, Venting and Insulation","1330 Zuni St G, Denver, CO 80204, USA",(303) 295-7652,,https://mysolargreen.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD1tcYjHdWUVsRSkaGI7qURpNuB_DZWHqpF0pFoF9FpbNE-NdDyWfSu2Y4b9xOoR5yJgUtQdjD_CM0sXwix0PfFU_dhMmf2rgezQkekYbdph94SueTJDoB1EXOvIuMdkQENkfdRZhBBG6O011t_8UMr=s4800-w342,5,125,https://maps.google.com/?cid=3473342529125734187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Denver,MH Electrical and Solar,"2806 Speer Blvd, Denver, CO 80211, USA",(303) 915-0914,,http://www.mhelectricalandsolar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAyj0GVnfPnIhzVh4vswrjQJ8fuFWWcxJYYUzAuAZuZsf6Qbq-rwZKwE4qzd_xdjbOP2RbgjO0WDY4O9Ah-hW6Wxvwdt1bsLsd8VXm9bwz2njrdReho1f1fSq-5wYzK8FiNUqHOQ-ZfSmjRsCQ=s4800-w640,5,88,https://maps.google.com/?cid=145313812227758914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Denver,Upslope Solar,"1312 17th St, Denver, CO 80202, USA",(303) 223-2525,,https://upslopesolar.com/contact-us/,https://lh3.googleusercontent.com/place-photos/AG9NLjAI3WoWxxdCrEmbWedVNAlxsHd-s9lLX51fxq70wg70KM5vK17bVzW14hNTfKx4-oOatqo9pwQvNvT6aD-g8IozadKuqdPPhS518fLHWN-R-n5Ix5LFZ8kJ63UfFabsoWbxT99i0qX6WBjYSA=s4800-w640,5,73,https://maps.google.com/?cid=12393112571496563999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Colorado Springs,Solar Guard,"78 Audubon Dr, Colorado Springs, CO 80910, USA",(719) 359-9727,,http://www.solarguardco.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCChgDTr2J0WGof978ZtA7Myd8wh7TtEIfYUy1b7Jdp3SFb3INhSiXj6khikFUHZ3zT0itaOMvSyEilzdFNtfE5onO-3yCnh8YOAzlQdJEQYNb4uxGZknGO0s3yaddurJ0F32C8Wp5y2uE65CfUT65N0A=s4800-w640,5,68,https://maps.google.com/?cid=7088751515961089540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Colorado Springs,Solar Design of Colorado,"4655 Town Center Dr, Colorado Springs, CO 80916, USA",(719) 322-8891,,https://solardesignofcolorado.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAXixpmo4Sf2E_42YVltrSP1EiuAlNaDXam0F7hs3l-Skk9va6vHq5aeNA6ZbrI9rb7vCBSaejLiqlzfQlikbpZHKvkhIAb5SS1XtmhEVFUicHtZ5JQWCNbIpfB7UGcOdUWk7u8vMO2mwKHWBE=s4800-w640,5,33,https://maps.google.com/?cid=13203152222033818476&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Colorado Springs,Triton Solar,"65 Commerce St #120, Colorado Springs, CO 80907, USA",(719) 418-2192,,http://www.tritonsolarco.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBSDArt9b6Z1l9hrrdb4U7U0B2Lkbh2AU4biabsPqPkSXIhfpKtV32ZzDyMmllSX0BLqz5O6czmqTLyheWRo5EfWHJgQgBrIsbtVMjVcavDlkuad7h-uTgsLrAlAGQ5ruEA6BQInsmhv9t7GqZSQhfENg=s4800-w640,5,32,https://maps.google.com/?cid=9497568566218821284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Colorado Springs,National Solar Solutions,"6645 Delmonico Dr #200, Colorado Springs, CO 80919, USA",(719) 399-0551,,http://nationalsolar.us/,https://lh3.googleusercontent.com/place-photos/AG9NLjAPfBh33Vgh_xZDI3ZhGmXzYHj8L55OEDZ0zGnh_5QF0fglhV1CVdcAOIJj_59oMGZzLPI_F1VablkhPxDuRNWz2t1_-Pk5gIQ87jkc0TC-vE_dFDbRro8_guFkaMvqbC8IHJxfdgJnIJhF-w=s4800-w640,4.9,97,https://maps.google.com/?cid=7838925990108102906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Colorado Springs,Solar Made,"2807 N Prospect St, Colorado Springs, CO 80907, USA",(719) 635-5125,,http://www.solarmade.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBUgET2v8XAUtDSisToL76iLrG47yVdCf64hKVFV5fNd7SuEDz2fCRbRInjsn0FZHNxz39rTlErlznUpwiVo9lOe4mUc8KcWoThw0bOwWzfsHc-VJLYn4xjkRPZq8Ljd24IiOtjAIl9kXCKbA=s4800-w640,4.9,14,https://maps.google.com/?cid=10086534921148871478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
