City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Boston,Horvitz Plumbing & Heating,"357 Adams St, Boston, MA 02122, USA",(617) 789-0151,,http://horvitzplumbingandheatingcoma.hibuwebsites.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC-qbzDPSSP60LM0aNw-08GmG7xezVJFg6o7y-u3_DSao7ZTsVaSWWhlb9Gry_31RRJ8rdq5agLkHOmdvKigOxkmMG-u9Mxunqaue7OaDFXQar9bdXlmXAX0cUr7h0BVdMyje7zkQPfDxxXVkc=s4800-w640,5,137,https://maps.google.com/?cid=17283444978234906071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Boston,Grade-A Heating & Air Conditioning,"552 Tremont St, Boston, MA 02118, USA",(844) 578-3132,,,https://lh3.googleusercontent.com/place-photos/AG9NLjBPGjA6uGvo8SV78NfJe5Sf791Z0KhZjGITLT3aS1wofMMl4qWeffxXm3mZD4YsXw35o83HPm-ZURhJK99QwSvQDB7i9uRXTsRBTl6h9e9wxH4NhWOdsuPsugmhNCqPM4CKqVAbjWrMZTDKVsSCyFC_Ww=s4800-w640,5,10,https://maps.google.com/?cid=16797501370323423913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Boston,Presidential HVAC,"31 Milk St, Boston, MA 02109, USA",(857) 895-1220,,https://www.peboston.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDhIBIkNG7g7MImOBLd9wayIiZLWYkiIEHeqF2A5rFUQPoHLE4kJAj4C6eJdMvxYSD5yLTpQAiccmALj2XKJWX9iVlQp1_yXpHzTPuO_7RnOmlNoNlt-oQ0ISNPkPBsqVN1Y89fxQV7ipacEw=s4800-w640,4.9,218,https://maps.google.com/?cid=14118321014295280976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Boston,"Fire & Ice HVAC, LLC","14 Greymere Rd #3009, Boston, MA 02135, USA",(781) 727-1044,,https://www.fireandicehvac-boston.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBxdKk-lIZLyqA3RtItRt7X9OXfygPkK9lRs__uAzch8SfxE1ldl72JCQNNkxK43zVGvHGTmsbBLQ7DOBIcxgJ7ORz_sXEnCZ4R1aIu9CiI99TYCyjiiLGMEJq3jukcVrOHXoBusycaJmB9Yw=s4800-w640,4.9,52,https://maps.google.com/?cid=9482843254302007391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Boston,Ferguson HVAC,"30 Northampton St Rear, Boston, MA 02118, USA",(857) 233-4330,,https://www.ferguson.com/store/ma/boston/hvac-2219?utm_source=google&utm_medium=organic&utm_campaign=hvac_lis_listingtraffic&utm_content=listing,https://lh3.googleusercontent.com/place-photos/AG9NLjABMQm9NhyrnK6hWll9iktLsXQYOS2kYwue31lNDEzFOEd6rn99gxSLfMiEbxnnJs-PDg_hYkv3z_cDg5stqjXeikWsmC8kzEjiroQbsAl3qVtQqH84BfGZZhcBeUTQU5-MqdHr-MvWp1sNv_M=s4800-w640,4.9,42,https://maps.google.com/?cid=15902082173271871971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,Mass Pike Plumbing & Heating,"100 Front St Ste 401, Worcester, MA 01608, USA",(617) 359-6800,,https://www.masspikeplumbing.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAGdH-0JUBpSvi6PDhlRLUqddRhU189f2aVGysqrxGIoz4wAuxJP7KJqw8GGd3wXDpL1D1oHpH7Gh-R25_NCMul2LfWxCP33hPUXp-z2kzGSkFf9HOm6TGYqAaY2P62vnBWuOoRCg43-0-YLegLy1HAYA=s4800-w640,5,101,https://maps.google.com/?cid=5381035292229066568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Worcester,Worcester HVAC Pros,"17 Mendon St, Worcester, MA 01604, USA",(508) 691-9905,,,https://lh3.googleusercontent.com/place-photos/AG9NLjA_vrRzrge4u-1G8I-qPf55jMNA1ManbGnOEhGMyACd-kZxtbcibBvfdJANb5nWP2ubIOIgqJcN9v61Mh7PpZ4vtj9uoga3K4Wn0Qvbu0EWWWHQfBuxSVNy_Qu4kjvBrHrozDixCTtWcouqoA=s4800-w640,5,22,https://maps.google.com/?cid=6598393455674804402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,KING OF SERVICE LLC,"90 Blithewood Ave, Worcester, MA 01604, USA",(617) 959-6291,,http://www.kingofservicellc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAfRalKmvBYZ36T91P3mCWUNvwRggIv_MNhVoNk_oFvZOxSNFSTdgbma_DqpBtP5AoXdTZ7nY5wkUlNHpoWe-JGXUTPEUDyi5EgVXEoRLOvt7RoN9tktHiz8Hen37k2Wpiqt1NON1patC3c6v2JJv61TA=s4800-w640,5,18,https://maps.google.com/?cid=4267562080424374569&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,Casa Comfort,"7 Henderson Ave, Worcester, MA 01603, USA",(774) 696-9139,,https://casa-comfort.online/,https://lh3.googleusercontent.com/place-photos/AG9NLjA7z0g3TNmR_XLLV6UEeMnyvqHGppx6JO0KEPwXT_uUkkHXU6G5N2G9fJePE-BDbLSbvEFu1Pa-uLgb3McsYRvSgqILg4tk5o2pKT59f4tLyXP6kUPMdq-0wJvSI2UqHYiZZ_TDT2hiPytGr23b3ITyFg=s4800-w640,5,11,https://maps.google.com/?cid=11684059225248946364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,Modern Energy,"24 Rockdale St, Worcester, MA 01606, USA",(508) 449-0449,,https://www.modernenergynow.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjA26Dk7yPjCaocKu-s4Oc1MgP2oG2qIzV7k8A7Wbzm-z8Hb_yksYheVkP66ECbaOg7wszjbnjPeF8a4Rc7CZmfhH-vSoWbWYkrwfqz5pJGYs8A7qiWkSD8NB8EbnzMjyHX06zvqdEsQut6WPuc=s4800-w640,4.9,198,https://maps.google.com/?cid=16019138963844917566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
