City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Boston,Resonant Energy,"109 Kingston St Fl 2, Boston, MA 02111, USA",(617) 294-6042,,http://www.resonant.energy/,https://lh3.googleusercontent.com/place-photos/AG9NLjAs8tZID58h1d_mMYTMW2IIe9b2oosWVJApp28EtU3-kBwCZAMoRvfRXJ716SLXOyKaGr0JBxoclzRFyYARARsC0_1dlAwu9t6dVGRPRrirOhTQV0JXJ8iquRZwVXCgvocWRqQVLF85cjQYmQ=s4800-w640,5,10,https://maps.google.com/?cid=11983822198590919826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Boston,EnergySage,"3 Center Plz, Boston, MA 02108, USA",(888) 838-4638,info@energysage.com,https://www.energysage.com/?utm_source=gmb&utm_medium=link&utm_campaign=google_my_business,https://lh3.googleusercontent.com/place-photos/AG9NLjDC8QwCN7qImWNPwVL-C-fP7u50VNHaSw0hf_bdxdSi9X3d8OhD16DRLwVHcXjKhCYMffjkj0tFzeFDP23p9GhhnydU782bb8AHjOG7gNOSy25FmnG8zHp3XWH2VSFpKu0joP3LXUdaIQ37=s4800-w640,4.8,1031,https://maps.google.com/?cid=12072693185203301718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Boston,"Team Sunshine Construction, LLC.","24 Spice St, Boston, MA 02129, USA",(617) 580-8649,,http://www.teamsunshine.solar/,https://lh3.googleusercontent.com/place-photos/AG9NLjC08-SwgDAn21l55JsvDZD2ddL9Y2teeTWZ7dEwANu42DszRTpJcM4Qo1-ubawVdhLwOTHa_sWCJOK_rYsg-MdoB80uraWyeRfVxdcly_QWTHMcMo4pM7yHtwWxNmzZAvlvj_rbEDi4xGXx-TA=s4800-w561,4.6,194,https://maps.google.com/?cid=16046103426870425578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,"World Energy Services, LLC","220 Brooks St, Worcester, MA 01606, USA",(774) 420-2764,info@worldenergyes.com,http://www.worldenergyes.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC90PTbL02Ct8-DGf-tjH-Q9eBSGDXmiszdQ8QgKOoVQodVXUe3l9eT1Fz2LZiuZrwnlK0In6zWPNgc0gg-TcHxY1XJtY8H6mqZNgnOfBITdHPp-LFphD55qHXko69GAQAp43KI7D5ke-ZrrSc=s4800-w640,5,28,https://maps.google.com/?cid=11670218014134172467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Worcester,Modern Energy,"24 Rockdale St, Worcester, MA 01606, USA",(508) 449-0449,,https://www.modernenergynow.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjA26Dk7yPjCaocKu-s4Oc1MgP2oG2qIzV7k8A7Wbzm-z8Hb_yksYheVkP66ECbaOg7wszjbnjPeF8a4Rc7CZmfhH-vSoWbWYkrwfqz5pJGYs8A7qiWkSD8NB8EbnzMjyHX06zvqdEsQut6WPuc=s4800-w640,4.9,198,https://maps.google.com/?cid=16019138963844917566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Worcester,Wattson Home Solutions,"100 Lamartine St, Worcester, MA 01608, USA",(855) 627-7674,save@wattsonhomesolutions.com,https://www.wattsonhomesolutions.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCKvyynrk3PW2SOEPM9-qrKIYm8RRBkpcbKpjrnL03fFSuHsy8R-PFdlEI_JvOc1cvqegnJwsueidjJwBOej433JOs9sSZDlEHla0i6-1NlDKBP3nUV1koQJ4vc3YZofgWMgTQgUYp02PS6zpZ2h11b3A=s4800-w640,4.3,118,https://maps.google.com/?cid=15724510709802127028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Lowell,PosiGen Home Solar,"59 Lowes Way #303, Lowell, MA 01851, USA",(866) 767-4436,,http://posigen.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAg0JNDZis_--PkfnpQF_PYMgHLxXrGZIbVrpTs5oqOtCL-Cyb4_oN7uUoyhbgV0DG-IUtb58Ehls55LbQERrvNuMWKrApCLl5kKQLGL0ss4DS73g7A0UtHZVtBg9GFSSj2F_e1lt2k-8coDvaOUZOb=s4800-w640,4.4,23,https://maps.google.com/?cid=11139757204261184952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Brockton,Neeeco,"244 Liberty St, Brockton, MA 02301, USA",(508) 625-5030,info@neeeco.com,https://neeeco.com/?utm_source=gmb_profile&utm_medium=organic&utm_campaign=brockton,https://lh3.googleusercontent.com/place-photos/AG9NLjAUpqGojMF9Rdof2TkcupeDMGls_FfYqP-skY5pp35auVfzNMNX5DYfLAgwdLx8R7Prk80eDzgJR7VORTIgNZQLDuT7p4GvXY-6I7owm3q4qDrjHDhXs3dlZ5PqgOuJ1K9lUG7P2oKjkbTgkm4=s4800-w640,5,95,https://maps.google.com/?cid=2329976119006003801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
New Bedford,C2S Energy,"513 Church St, New Bedford, MA 02745, USA",(774) 961-6810,info@c2senergy.com,http://www.c2senergy.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBQya2tkeSB8h2Vdic9AhLNqC7Zso3EZsBJhjRMIPaWVsOcGW1wqP8GYPX7_B3q1TZK_YmWtHrZKOs7_6q8K75c04ANVDj_KGftWesDFZYfD9-LSYT2lWYiVpe0Ny0dU9Kah0pIAOpYOHMSxA=s4800-w640,4.9,184,https://maps.google.com/?cid=2047909564702047315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
New Bedford,Commercial Solar Guy,"1213 Purchase St #2-50, New Bedford, MA 02740, USA",(508) 499-9786,,https://commercialsolarguy.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC7ESLowZY0a-YTY2JtOyepXLXxCYlW0bjMKxbZRB1hl7bqCb4jL1b73kuX4M_YgSWuUCOmQi_SACGBeSay-Rh50sAnQzr6Q6ENzbjPz3NyuNyqE-euXfhCF3D1KdYP_a0B5F5YQfxqt_NKNQ=s4800-w640,4.9,28,https://maps.google.com/?cid=15195913918934753442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
