City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Halifax,Nova Heat Pumps,"1959 Upper Water St Ste 1301, Tower 1, Halifax, NS B3J 3N2, Canada",(902) 681-6682,sales@novaheatpumps.ca,https://www.novaheatpumps.ca/service-areas/halifax,https://lh3.googleusercontent.com/place-photos/AG9NLjChxlcgjkas9D0ZTgBBmR7YMbFDLHGxPopnVLsHjotAuAnHJ9mgIC4sV-9gy3ExSUBtFTqAvSfrM6v4MqI-G-dAlMJIl2nUMvcrfw0gTPl0jVvExvztgrAdILDEi28RTtL3z2TbWtbkNDMw3REYeWP4rQ=s4800-w640,5,37,https://maps.google.com/?cid=2830648892361016762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-14
Halifax,Maritime Climate Mechanical,"5170 Bishop St, Halifax, NS B3J 1C9, Canada",(437) 873-1363,,https://maritimeclimate.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjC9-n4RI5HecdW_GQYxqx6D1lK9Eiw7gYKteEAQM8BaM_AN4v6DUeY9HdnuiGR-syiibHWWu1DWQ9qxPF7Udj1ZPEJWBD21VuWh346gJ3YyXEaPB2QAXFhiEGSHX_gtADDjCo23K8l4VKNke_9yx1Lo=s4800-w640,5,24,https://maps.google.com/?cid=2276712316770737201&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Halifax,Atmosphere Climate Control Specialists Ltd.,"287 Lacewood Dr #103, Halifax, NS B3M 3Y7, Canada",(902) 483-6592,,http://www.atmospherecomfort.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDfJ0VBkXK2DSstBhLIiwo5KPTc0CSeCvb5L6KOj-05mRC2pOdF6JPUgEzmnSLPrl66JXfgXD4W5nbAmRVA3qlzruz1VKxG926tZZfB-dhGaL6V32uRoa8yYpn7dGf5Sfbm7oiyXIIFOzmX-S6cEEXSoQ=s4800-w640,4.9,878,https://maps.google.com/?cid=7010909355800829279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Halifax,"Joe's Plumbing, Heating, & Air Conditioning Ltd.","10 Lovett Lake Ct, Halifax, NS B3S 1B8, Canada",(902) 333-3977,,https://www.joesplumbingheatingac.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAkmhv_zj17-6YaQFJ8UaeVGhhtPcucxI23tu3_ILqYeVuYEr4mh7R0PdEd0kEzjBp64TjFPv66_0iNQcINdBoEjbXCfLP9Agb5z69tYR150xeAcfR3gjkS2m_mIgBEmO_YCwQSAnxhMlA=s4800-w640,4.9,322,https://maps.google.com/?cid=10748745751037791005&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Halifax,Trevor Wheatley's plumbing & heating Ltd,"3256 Micmac St, Halifax, NS B3L 3W5, Canada",(902) 830-2868,,,https://lh3.googleusercontent.com/place-photos/AG9NLjAtp0ZfpBqG1MLZ-Z6MC921x9qwO_Pl1b2kPHLpKR1WdQ_Wji63azLO1mJv49EfhxCJa2GZUlXUWhKZGOhv3jYvz3KqAdDkNDXsVI72Ra5dX1Sq2SANr_TqR25EPBPAvxVfAkLdwh75JD2ODg=s4800-w640,4.9,123,https://maps.google.com/?cid=7990049541605550358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-14
Cape Breton,Happy Home Assistant,"64 Brookland St, Sydney, NS B1P 5B2, Canada",(902) 500-9828,info@happyhomeassistant.com,https://happyhomeassistant.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBAywTf1UPL0vsZ4dDiYRIH_IdH_NnoqNI_fGp-ti--M4O_sHV4bDpHmtw3JsACVDqnpiK0vXUdcthPfAP8tngAJ_lRM-YmrTtY56VLs2Yw5p180GXs7kL4W6ODIA8IwZEFSyhgW7rdFBwhAwwOcFycuw=s4800-w640,5,144,https://maps.google.com/?cid=6425708836926739461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-06
Cape Breton,Greenfoot Energy Solutions,"890 Victoria Rd, Sydney, NS B1N 1K2, Canada",(902) 706-0917,info@greenfootenergy.ca,https://www.greenfootenergy.ca/locations/nova-scotia/sydney?utm_campaign=local&utm_medium=organic&utm_source=gmb&province=ns,https://lh3.googleusercontent.com/place-photos/AG9NLjC-BGJI8_mLtWsnOGcUXkoM2fOArXoXagdn3vwofU2Y7iBXxBH4ROKet0R6ljutFvxX7XXOkIOI5qFUV5VZbEJXPZq-KpedQGG9xEl2cxwbITbHjWjDv0ieadVIA38IFEG944VGa9mfVtXPfLM=s4800-w640,5,99,https://maps.google.com/?cid=15056460893040094008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-06
Cape Breton,BEST Heat Pump Solutions,"53 Convent St, Sydney Mines, NS B1V 1K2, Canada",(902) 220-3546,info@bestheat.ca,https://www.bestheat.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjCEsyk3rWJCEcfe3RoaIKqMTFdR4kR3HeFUQ25ScU6_fGBGjcpSbe83FWxpGtMFl96AXqqDDwxV80g9u7nfV-BgRJxHCJQlJfYfqJlI85BGtC_TJE33qwbOFWnLatp4galSgWFAcnM5oMSE0vh0xJy51Q=s4800-w640,5,47,https://maps.google.com/?cid=2165914856531469832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-06
Cape Breton,J. Wilkie Mechanical Inc,"86 Mountain Rd, Sydney, NS B1L 1A9, Canada",(902) 565-7943,jwilkiemech@gmail.com,https://jwilkie.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD8iyL07XO59vBa46xqBTkyo754FNk6dfI-B2hi5Oxudx7ywWqwl5tG_ykra-jS9_LUmdoY0Wy33T4_BfkWJjCkCozXX8rTjlEkDo3iOADcqhKDt9Khv18b7FfSH8BbJSX_LVElj5PqZ9Izbg=s4800-w640,4.8,41,https://maps.google.com/?cid=15771810251450180588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-06
Cape Breton,Vision Heating & Ventilation Limited,"566 Keltic Dr, Sydney, NS B1L 1B6, Canada",(902) 736-1777,,,,4.8,16,https://maps.google.com/?cid=13561775619538535573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-06
