City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Beacon,Shelter Air,"134 Main St Apt 1, Beacon, NY 12508, USA",(914) 928-2313,,https://shelter-air.com/?utm_source=google&utm_medium=local&utm_campaign=listing,https://lh3.googleusercontent.com/place-photos/AG9NLjBgcstxA2QT6E1SXnF_Mnzw8JcUsgkZSBQg5lqD1rBGVg-OVal1_G285YhbkiB1iyDyJ_yVm4GiMwDrrwlyeQUoTkTz_XBIXUClIKHH5FM6r9BYy5IeMXfcCCpy7vsOmACM4rkAWcNoJCfjbr7EnOZS=s4800-w640,4.9,37,https://maps.google.com/?cid=190447228524874974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-22
Beacon,MJS Plumbing & Heating Inc.,"621 NY-52, Beacon, NY 12508, USA",(914) 602-7106,,https://mjsplumbinginc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjA8bhUWb-D2fSda0fEKcpI5aF-8EgUDMVqmVjxBcsyYxyVR5lYk55DhuOywF2Wzlx9FO9pX0-KRA8vwfbUE_mGtUS_ykn5DQ3BLcjX7hbAydq_I-j1oMF6_fHNJ_IJ8UeBmf47islRV65gVjT8=s4800-w640,4.7,97,https://maps.google.com/?cid=5725251663977143021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Beacon,Water Heater Express LLC,"621 NY-52, Beacon, NY 12508, USA",(845) 335-5051,,https://needhotwater.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCBpvaq-Rr6FMWpltIa7pNd16Bkzoq1vcJJWEHmNQhJIIcSQrsrvL559G3HtYJIyj8RdpWf-aKIy-p81UAtwO2rJ8QsquAKEx4ij3A6FXLGOiC2N8morEUcELBpfiffY5Lat56AzXZgDLn9BnVfXNq6Eg=s4800-w640,4.7,39,https://maps.google.com/?cid=9258376768548017135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Kingston,"HWS, Inc. - Mitsubishi Heat Pumps, HVAC, Electrical, Plumbing","2 Pearl St Ste 1, Kingston, NY 12401, USA",(845) 331-8948,,https://kingstonhws.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC3AhK8J95IU0hBsLhrw1mtlOjzklpggT2PwgM5a63EuHeD6EyfRTqZGRhSDPTwj9Y626GqM2p9dWGV_pQHquhu1wXVeQZraT9BFR0mfkBs7OBz0Ivzes82OYfb_7vTLBImmq_FuHf1GihH7cU=s4800-w640,5,744,https://maps.google.com/?cid=15742486776796357006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-22
Kingston,ThermalTech Heating and Cooling,"3072 NY-32, Kingston, NY 12401, USA",(845) 273-2197,,,https://lh3.googleusercontent.com/place-photos/AG9NLjBktE9f_971IuqV65I5ft3ugLUJuc_8EHSQqYimTGCcTr3jV7ibfm4c-CG9d1jpJn5oHUgM5vKrLzJxXByWTKQSoqpVfeU18zfXP1FWLwYM1Fd1VPc9LBqplrfVNpRNa-hp2jD1_yJ7fM_YvC_sANsv_A=s4800-w612,5,15,https://maps.google.com/?cid=5358335001232217604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Kingston,D. Rohde Home Services,"325 Albany Ave, Kingston, NY 12401, USA",(845) 377-0284,,https://drtotherescue.com/service-areas/kingston/?utm_source=gbp&utm_medium=organic,https://lh3.googleusercontent.com/place-photos/AG9NLjB9P2vqU2s_UKefCiXyulGvSTk0Lkrra7Qs82mj1ebuwbe8o80NB28HodCCCcuBlH2hVawy31TmCbzdXBmIb_TZbzm2n9fV-ylDxfStI0Ej1JM1l83Yo0dqJ83b7LVb2QGAbnbfYfeOVnhnGNrf2XlKhw=s4800-w640,4.9,205,https://maps.google.com/?cid=2969903173512902834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Kingston,A-Team Comfort Systems,"310 NY-28, Kingston, NY 12401, USA",(845) 246-5454,,https://www.ateamcomfort.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjCfkjgWIiAMiqPw0qL1oLpL3l_WLM3RqM2p2TL7VCcii8BVK7I0XhxULUvdgO3a1K_LiliaQP6Al0su8ciokj2TR4fFC33SCT8KIuJXfCyrUtuplKahiZWlancOBynqXubFRLWIGiIlgY2aeA=s4800-w640,4.9,192,https://maps.google.com/?cid=6114326966448759365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Kingston,Kingston Heating & Air Conditioning Contractor,"280 Plaza Rd, Kingston, NY 12401, USA",(845) 347-3736,,,https://lh3.googleusercontent.com/place-photos/AG9NLjDl0jV8tCS-Be6RGUzQEZ9bOkKzOX3IfAB5QpjfvuLt9VhHZXoMe40eUfuDscMvbY9XlOTzK6QPXz0P3mrIcMdq-UpKEPn7G18ABsH7Bye5OkoBt1nvfWJdqgpx9rEp0jGGQ4mM6KTztU3euQ=s4800-w640,4.9,26,https://maps.google.com/?cid=5751556574550989254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Newburgh,Parker Plumbing Heating Cooling,"1905 Drake Dr, Newburgh, NY 12550, USA",(845) 244-0159,,https://www.parker-contracting.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://lh3.googleusercontent.com/place-photos/AG9NLjCrZtrKDtCvhKDk2IHCz5rYmmQ4674R5e3u8Y29uhEj2hq9432cilKHw6bL-KqLxNbAnUGu46xxE_ZEjiW3_28tyFINnwdESdotPT8KhpYBXzrNd4rP00XdNN-9N7chUjkqzZ45CUapjKiDX6YTjnzDWA=s4800-w640,5,84,https://maps.google.com/?cid=12626941824296069818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-22
Newburgh,D. Rohde Home Services,"365 Ann St, Newburgh, NY 12550, USA",,,https://drtotherescue.com/service-areas/newburgh/?utm_source=gbp&utm_medium=organic,https://lh3.googleusercontent.com/place-photos/AG9NLjCE3P67xM_QoqZWs5SqcRvGHU9dhCFX17-h5U2RRZEzPviytts3HIpvb84yRy2bp3EIw8ZkcRsnPhDdaoN9N5dU_ymescHFhUft3696N6trpud0_eLoayjWuP4gmN5sK2uo5UEO7JIwWhTE09EH2WfztQ=s4800-w640,5,30,https://maps.google.com/?cid=10838717159791361097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Newburgh,Uppercut Plumbing,"11, 21 Carroll St, Newburgh, NY 12550, USA",(845) 674-3616,,https://uppercutplumbing.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDtcZuvj-B7Mx5_Jqcoj_b5PvLy1wOjZTbwzjVRi_f1gQEt_drm2cniYQLSX3n4e5Db1cWbUI1b40CP38j1aBMEVnqm6AcEbwk0OF1l9iVxccHoyZX3W0trcNMgfZlm0VXFe3X6sPdGamROspoddNrC=s4800-w640,4.9,151,https://maps.google.com/?cid=10331310869292410469&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Newburgh,"Valenza Plumbing, Heating and Air Conditioning, Inc","42 Old North Plank Rd, Newburgh, NY 12550, USA",(845) 565-2799,,http://www.valenzaplumbing.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjALMt4_c3rT5ct6FbuF8dPFhnejpHy-8RQRvdsJkYdjykpBrYByKBJFH55_zpMdJ5P4506-du_Lj9AgZP550VLalZ5ufzOUCO5tfBLwtVMlbPoh9iy8bBW3wRcqUjJS6Un1O_HiOHfxb3kgxck=s4800-w640,4.9,104,https://maps.google.com/?cid=454340990958351369&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
Newburgh,"Reliable Heating, Air And Refrigeration","610 Broadway Unit 131, Newburgh, NY 12550, USA",(845) 541-2854,,,https://lh3.googleusercontent.com/place-photos/AG9NLjBcOfn8DQCjkt6wrGR4enEikqWall0wFhJNYuFbA83WrUbfiORSjngmjFKLWnxKi-eISpQGPvXpx221xhVkFA_jGISplF9TCfkO1-PGD7iLGgWWEFhW8MjJiWFCYhNbg3ZNXzPgH1BiVdCQqEE=s4800-w640,4.9,21,https://maps.google.com/?cid=13362888017554049442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-22
