City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Beacon,Victory solar installation,"426 Main St, Beacon, NY 12508, USA",(845) 379-9233,,https://solarinstallationdutchesscounty.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC_12ft8v52Sam_nNgG4Ys6rYlRO4yXS1ktOkgqM22FHg2dmTBmWoIX8Q97pTagmt9QvJH0_FAs1D5JU8STUYLroNQV5EXNfXRaBVTlw_uTk4z5ow9qkXB9sHARUWi7QhZSObRQRsC_KwoF_Q=s4800-w640,4.9,42,https://maps.google.com/?cid=6836005346517042395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-30
Kingston,"HWS, Inc. - Mitsubishi Heat Pumps, HVAC, Electrical, Plumbing","2 Pearl St Ste 1, Kingston, NY 12401, USA",(845) 331-8948,info@kingstonhws.com,https://kingstonhws.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD9oFrHhZYJSqAcbXqIzeS_pcxbwdcIFim4hUBS6CK97cYpwCN7dSJhwp7OW6Ah2SCuiFRS-J1NznY1-C5PL2hCNIKwJyYL_X5UL4x2A1AlpwKL1a5lE0BMAA29yGbKqSSpjW5mzbAwgMZXMLU=s4800-w640,5,745,https://maps.google.com/?cid=15742486776796357006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-30
Kingston,Smart Source Electric,"225 Old Flatbush Rd, Kingston, NY 12401, USA",(845) 853-2705,dan@smartsourceelectric.net,https://smartsourceelectric.net/,https://lh3.googleusercontent.com/place-photos/AG9NLjDR7oKmfElvi2pzXL4nvbXPw3kIs7b914tPsIpfYK9KecN9wjpYH3txZr-gaBkTjvDmuk5nsmuCAjCgpmH0503AoVK9o7bY-PRoSpoxxpYj90aQynJfC_jOQlt3u5mDBgVaBfc1esXijRCdkQ=s4800-w640,5,18,https://maps.google.com/?cid=637544967709324549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
Kingston,A-Team Comfort Systems,"310 NY-28, Kingston, NY 12401, USA",(845) 246-5454,,https://www.ateamcomfort.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjCzc209fCK0wz2nkeDe_3eOwr_PzHadUcuZlWkC_BIYcQQuzcvcgFWIQR8wgJkKuMhW_2gAe2plhZo5BaeQjwLJwQvpwXy7RRsAZHflttjG7JOWf4NBiqsJhWMEFdyo1UiEiXbr2j2Wty4XwQ=s4800-w640,4.9,192,https://maps.google.com/?cid=6114326966448759365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
Kingston,"JSP Home Services: Plumbing, Air Conditioning, Heating and Electrical Experts","515 Albany Ave, Kingston, NY 12401, USA",(845) 280-5199,office@jsp.expert,https://jsphomeservices.com/?utm_source=gmb&utm_medium=organic,https://lh3.googleusercontent.com/place-photos/AG9NLjCwm9voZsB4u94kMitDPfRjPNW1jLEoMagM6_rE_l4pupInq2DPyaWaKGPwj8bcMuyT5RiWrqPRiAn_lwqEbY9ElU-TUbKTRx165j5Uw9wfq7EPniNGrxdfBadj3u91j6ilI-pbMKWQOKmfaQ=s4800-w640,4.8,7334,https://maps.google.com/?cid=11859822236624988547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
Newburgh,Empire Solar Solutions,"2-8 Johnes St, Newburgh, NY 12550, USA",(845) 561-3403,,https://empiresolarny.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDgr7uqZyzo25PEklqqqAtJW5W5Y0GtaebH3IXZcbYs-R7uTw-XL3Wp0cBqaW7tEY5_FDWMVzBV7Vi7vZK1a5g--SS7nI3eIxQqh73NegcjGF9FTOuRrGbl1HrPE7gqeZr42WOuThBijgV6KMLxBWK36Q=s4800-w640,4.7,640,https://maps.google.com/?cid=9459335782688044036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-30
Poughkeepsie,Ohms Electrical Construction,"22 S White St, Poughkeepsie, NY 12601, USA",(845) 345-0797,ohmselectricalservice@gmail.com,http://www.ohmselectricalconstruction.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBAmzsGZOV24khQ9_9l6KOvx2Us-2iTn9YK5CEJbjew05MTWiol_8jaWyBsxKdvfj0RcEK3bWml0w648dBtrwn6ctjCybqYZa0rzclpaxnddghGZopm9SaekrXG8TVtJWkiJHglqflNmvaaEe4=s4800-w640,4.9,124,https://maps.google.com/?cid=18167911084549895835&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-30
Poughkeepsie,Evo Energy Inc.,"66 1/2 Worrall Ave, Poughkeepsie, NY 12601, USA",(845) 813-2220,evolutionenergyny@gmail.com,https://www.evoenergyus.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAs626gclrvU9WK5Fe-iT1V0QcF9CsA2fzfmznxP02JIOohXUIU6LE6cZNHr1v06GzaX_IDweaT9cDWShwYibH2MYj6P75Q1GoNaLpDEJ5RWvNma61paf6407qTgySJRVR4X0lUWb1K05D77b17Br-aIQ=s4800-w640,4.9,61,https://maps.google.com/?cid=7093830435555708689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
Poughkeepsie,Solar Shades Window Tinting,"2500 South Rd, Poughkeepsie, NY 12601, USA",(845) 462-0500,,http://solarshadeswindowtints.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD9pOP3fGYU435buPHtlxjl9y8wzMde7hN8lGEgssNX2V5rzxnUR_WetiyxfK2ZCYuZOnie_RgIOd18x4rS4H1uMbHLbUHjFjiPbZnEniDG898jMB0LTJcM8JWbwsRYBXEyUrVUCfYEOqP-_ZY=s4800-w640,4.8,141,https://maps.google.com/?cid=2259351597176818451&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
Poughkeepsie,Under the Sun Improvements,"168 Overlook Rd, Poughkeepsie, NY 12603, USA",(914) 490-1695,,http://underthesunimprovements.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBCbWCWQ46bCke5xGApisjEVnU1tc5IoqaM6izhYx3P9RcFhdPDQQAENmDxaBAe1umFJO-Ub1op7dxRaTjQi_9D-gCKK3nBF9m9UVkCjtk1NRGBrI9La-UybZm5g0c33r0DYjv5jYqQSZYihw=s4800-w600,4.8,87,https://maps.google.com/?cid=9804149125757316226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-30
