City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Toronto,Green Heating and Air Inc.,"1373 Bathurst St, Toronto, ON M5R 3H8, Canada",(416) 627-7724,,https://www.greenheatingandair.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjC-y2s2lAk7C2CCJuKTtPPx-8aYJWVklJGFL8YR4NOGsHmDpm8qFcT9NTlZk6_qsT0rAjUt7cUzg0IgVDLO_BmMsjHj8Ru_qP-u5dDxpBZ5bXmh2KCLEHF4GswSytpRNYNlFTiKGjc-SaMC8SJfs5Fhcw=s4800-w480,5,181,https://maps.google.com/?cid=15683686892383433382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-09
Toronto,Superior Plumbing & Heating of Toronto,"120 Eglinton Ave E #500, Toronto, ON M4P 1E2, Canada",(647) 370-6703,,https://superiorplumbing.ca/toronto/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,https://lh3.googleusercontent.com/place-photos/AG9NLjBrKfrWz24VDFY5hzao2a7DqwYK-_Trt8pzj5BpajUAGJbIyXi1qZmKuNwZcxCL4-uvsKYn_CAPZ_2hrMqnhZI24ZJF-1mN5wyiRclTzfIkAKfb1HHr4VbLe9amBaST15xs7GxAyO04lCAHLV8VoWFJ5Q=s4800-w640,5,72,https://maps.google.com/?cid=5476257200659135897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Toronto,SunCool HVAC of Toronto - Midtown,"2300 Yonge St, Toronto, ON M4P 1E4, Canada",(647) 496-2057,,https://suncoolhvactoronto.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDc-9DleSuY2DgDiwf5JPBODuuqfLO0jPFtXi5Fd9bfuw0KOMNh9P9SZ-QKiE1Ku1F-LAkDSKt77F-l8BMJZD4boo7c-oLtkzzxU-7cwGmwn9-gdXqCC1AeR4JOfV2PbET25RBN2yHgendfvitY_A02ag=s4800-w640,5,71,https://maps.google.com/?cid=15910303449836879207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Toronto,Easy Flow Hvac Toronto,"2300 Yonge St, Toronto, ON M4P 1E4, Canada",(647) 269-6672,,http://easyflowhvac.site/,https://lh3.googleusercontent.com/place-photos/AG9NLjAVOazGOJWS_3kjydQkaQr_xk5meHokdmGF99P9h9rKH4tL4GDO24HslUrngYg-G5Xj9BT5qEuBdO7UIBnZfLyKO95M02sAG1pSAiYCGPWCpjwzK8NuY4V1u6trXBDq3vTk8VzSxyg6S_EHK9kdRbAR=s4800-w640,5,66,https://maps.google.com/?cid=343136944851023084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Toronto,PRIORITY HVAC SOLUTIONS Toronto,"124 King St W, Toronto, ON N0B 2S0, Canada",(647) 699-9204,,,https://lh3.googleusercontent.com/place-photos/AG9NLjBZoTMhmucVP3N5obdjO71YQggK-p8wAfiE7V-EJhATlNYPzTNbjmYrENAthqsi1ESUxOHhVaMNfO4MmuLz-AD4bdbAjw0Bh1YNV0QUpYi34IlS4PwAVmN7F7AHlnDGpCiy7QWLCbaCSDpfoltBPNsn8A=s4800-w640,5,46,https://maps.google.com/?cid=6533385975591769449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Ottawa,Dynamic Heating & Cooling,"1527 Upper Ottawa St Unit 13, Hamilton, ON L8W 3J4, Canada",(289) 204-6781,,https://dynamicheatandcool.ca/?utm_campaign=gmb,https://lh3.googleusercontent.com/place-photos/AG9NLjD9eYA02hauDwn_Oy3RsCZk02cyzX5-TZmXJBqIc3Y2vZ9ksVKn-JoquwEnjJINSkz7_rcJfgZZqWyZKxAq_KwJ1nrD9jpPVyAGv1-JXGhkpXLAtNi8GPtEqyHlW7oODg0JJ60CyDftxw7IkH4=s4800-w640,5,814,https://maps.google.com/?cid=7127616785448395863&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-09
Ottawa,Capital City Heating and Cooling Inc.,"7820 Flewellyn Rd, Ottawa, ON K0A 1B0, Canada",(613) 274-0220,,http://www.capitalcityheatingandcooling.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjChugeNlZR1HA9GIqOH6FQdWAEtpPpDMGjf2GjttiwWWYPzAeRKEmC7f1FnsGTlihg43vycvcq7m8qdSsFcHnkedgnJMm2iFV7bnCarETPHvrN0cDssryyTZlZDu24DRd38_K0Af-ZgbgzG-94=s4800-w640,5,449,https://maps.google.com/?cid=14412296171330765033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Ottawa,Apple HVAC,"1468 Chatelain Ave, Ottawa, ON K1Z 8B1, Canada",(613) 315-7325,,https://www.applehvac.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjBf8UZVj6yoYQOwBd1DIuleo8mG8ZLYOtKqgXEx5J6YLIj4wVJBnFcFnpCVLuGjwuB9LB9Hr9Uopztxl7Q3WWn0tSomQk96Vun-PjkABz4spiBN6zTFscH4igTkarVRBwAt4kybY3z3Dr6HLwZZ8772aQ=s4800-w640,5,246,https://maps.google.com/?cid=13608540692467472386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Ottawa,Ottawa Comfort Heating & Cooling,"33 Viewmount Dr, Ottawa, ON K2G 3C4, Canada",(613) 794-5625,,http://ottawacomfort.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjDZCLwM8fj-R8tLDouPffn62q5r3mZ04g1hES_eYg9JDBblui60k6o_Kqsffv7uqxnK3vDO4ukDjipBZkd-KiQBIzapvp9UPxsElcWF479ttmXwUghfxJ-vaidt7HT5p7Q_J4Dwsds_NIPE9XI=s4800-w640,5,192,https://maps.google.com/?cid=2240172610926270815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
Ottawa,MR Home Comfort Heating and Cooling Inc.,"38 Auriga Dr #200, Ottawa, ON K2E 8A5, Canada",(613) 695-1231,,http://mrheatingandcooling.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjAMsmLOy3_BntNbb_SxV-3mTer5oNCiGEGheQ39RqVN_WAAeZ3trQuQr1qeQbESgwPBRGh8RzbVPKXiMCoIGNW_SNK2YNy3cIPR3JXbnGipJMdlHV9IlM6o9BcGNeENfh4WqOIBxJfJSHZfF1U=s4800-w640,5,136,https://maps.google.com/?cid=10657150948822104378&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-09
