City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Philadelphia,Downtown Mechanical LLC,"2501 E Venango St, Philadelphia, PA 19134, USA",(215) 617-3768,,https://downtownmechanicalllc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCfJKMxHZLjxNWWcnhYQeLPPicTNo_cDYIPXG5vkywJ3mlJd_Q2rp2RcNbxQRDFMcZefNLVTTRmfFeR2pgMKrZGYGnujq1B7y8ZOi8CEAbvefLlem7D6kuzV55oalCJ6RTUv0on5fatnj52RsO42RtKGg=s4800-w640,5,267,https://maps.google.com/?cid=10095312717664987673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Philadelphia,Delta T Heating & Cooling LLC,"925 Dickinson St, Philadelphia, PA 19147, USA",(215) 776-4447,,http://deltathvacpro.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAJLXqD-N8ZDdcxi_KA6sYDEtDM_uP96Jw2OkOBB3te166h-oKXG_i3v8asq62nwQEQtqvJhyeSRIzZ9PrvMe0opKrrTmv4qF9CSvulJHK6GXYH64ySMGYMRlcUqRxRMPRk1TPucti7SEHnU10=s4800-w640,5,106,https://maps.google.com/?cid=4250580968390340042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,"Cardullo Mechanical, LLC","703 Christian St, Philadelphia, PA 19147, USA",(267) 578-8360,,https://cardullomechanical.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBJNftWVnhF2qwucuZpvHSqjkJkj9sblyd37IblEiPNSMEn_8SlRJVndggbbLjidtqgKOV54iG0z896uWdUtL3u7Uvrb8cYxKCmQCL3Hmb6Qic70GrVdoQyOBtq6PIGgR6Bssnr3QOTZVPOCpQ=s4800-w640,5,89,https://maps.google.com/?cid=6807923795152695021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,Good Brothers HVAC llc,"123 S Broad St, Philadelphia, PA 19109, USA",(445) 800-7690,,https://goodbrothershvacservice.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDOFjAFDMUlhkHn430lGpqqrhUWmuXkiftyqK9zqSAQTUGsHXqAW_kqyXsWiDqPMiffUsK6yHzjd55aOiMVBLq3btXYp4vvxqjDRBHiObLf8gLwmdDNUZq47X2sbdVi7BVf54KtCJgJbOUGhK0Ilqg3eQ=s4800-w640,5,31,https://maps.google.com/?cid=13183605896141131609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,PJ MAC HVAC Service & Repair,"130 Naudain St #202, Philadelphia, PA 19147, USA",(610) 424-6447,,https://pjmachvac.com/naudain-philadelphia-hvac-service/?utm_source=gbp_listing&utm_medium=ecg,https://lh3.googleusercontent.com/place-photos/AG9NLjDypqqqtY-mTP70m_VCdzgadN8hhJQGzoES1eCzBDYZfnLRs3nuA5N8P-s7yGeL7BxdYMRv1oJE1H3WhGkwBJgPbmutXGjAOpG6AGwFv_AHmCyQBX0G7mKf0PAT5NAcA8NkpEr_HT7dokad=s4800-w640,5,30,https://maps.google.com/?cid=13291155332940525222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,PGX Heating And Cooling,"1328 W Sycamore St, Pittsburgh, PA 15211, USA",(412) 992-8310,,https://www.pgxheatingandcooling.com/?utm_campaign=gmb,https://lh3.googleusercontent.com/place-photos/AG9NLjDUCBhZ5b77ODW66MQ9GB2ADs3IQXVbI-gIbZ-QkymfiymdFHCXF82ez4jCw7lTQ8hG8-es3Bvk0rL5pqNmmmPxH23E6YPn-zzhAfWIQjw2TdhpzSh_AKjopxBDllR1QX7C3JefPCG8xsjH=s4800-w640,5,227,https://maps.google.com/?cid=101452156774883145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Pittsburgh,MRT HVAC Contracting,"1756 W Liberty Ave, Pittsburgh, PA 15226, USA",(412) 651-1266,,https://www.mrtpgh.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCxp-LXlXquQco7kUXJbIPtE4ln77x7m3-FnTO4p9dCKToG5t62l0JYZi9OvISEMzIzA6EA87VK_Qu1u02uYdxO5qXT80dmdaSLjcPk_Igr1aKupKJXpJF4yurMOQOVXFi5ueP8CWMFn41Dlg=s4800-w640,5,107,https://maps.google.com/?cid=8534146056079415849&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,"Spurk AC, Furnace & Boiler Repair","5001 Baum Blvd #795, Pittsburgh, PA 15213, USA",(412) 285-1446,,https://spurkhvac.com/area/pittsburgh-pa-ac-repair/?utm_source=google&utm_medium=organic&utm_campaign=gbp_pittsburgh,https://lh3.googleusercontent.com/place-photos/AG9NLjDTkJ67z63cOICRjR9LhQwLD74fPGgoNrOZf48nJy0jh0R67uLonlVmlphrlH_mcFP19kfczhP566IyNhWfmZQK557YaBSq33_25QJ5DgkJwydrWL7PukxyknHDLnnfZdDdp_x0uTWYnyDNYblWvOKZ3g=s4800-w640,5,47,https://maps.google.com/?cid=10418416232330021653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,"Precision Heating & Cooling Services, LLC","1401 Frey Rd, Pittsburgh, PA 15235, USA",(412) 526-3762,,https://www.precisionhvac412.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDNu27Po2RUZfIc7UR40JcSdlgzD1dL3v_oyQKI1qmCfaQfT3zZDS2EsMRpuR5zLz8Uu2JE40KjKqe9Sp5f63ycUyak1dRYx4uzdn0PJugtwE0-PuuNPCaSTy9C0DJVIn98MRoEJe3fT2khyg=s4800-w640,5,37,https://maps.google.com/?cid=18344451652483225391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,White Heating,"3467 Babcock Blvd, Pittsburgh, PA 15237, USA",(412) 364-5003,,https://www.whiteheating.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,https://lh3.googleusercontent.com/place-photos/AG9NLjBWQMRg3IA21L-JrCI_Cm606PbjI92Q0seTGiHuLyC5hp0IOaGrKbNqabAeHDPVZw6kwS237cIobIdkIdm-u0n-oEO3NvYwHiNqQaGIUrRBii2rFl4xn9KF4LcPc8qQ0c-nCC9EpAyIAlNFxTo=s4800-w640,4.9,1574,https://maps.google.com/?cid=5111880028683074567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
