City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Philadelphia,Arsenal Solar,"516 Lindenhurst St, Philadelphia, PA 19116, USA",(215) 677-0873,example@mysite.com,http://arsenalsolar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCmv7BeTJsFIUpvN9-xnujARV8cXvW2yxpto8Q0DWi605uE2pm6bkQHcBzDblCbEle_IxS-IjemCk3wTanifdYn18acl-megrlXkqAbGogI1vU1wWLEt4gcuBrNZ7U8zlgbR-jqjqXNmEqufp0=s4800-w640,5,45,https://maps.google.com/?cid=17975957500985241894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Philadelphia,Solar States,"1500 N American St, Philadelphia, PA 19122, USA",(215) 939-6699,info@solar-states.com,http://www.solar-states.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjCvvsZGYgNY0fcd5YwYbuAimXV0_W5dd604gj-MoDbPaHPUXJqtOa52xRK3sPrb6inDppNMZjTIEeMtMHFz8pAdgdsy9dQE_VYWDT9a2ynNwocLqJutRJFXYPhuQa7SmhBhq3bEFqE4kgcw=s4800-w640,4.8,134,https://maps.google.com/?cid=12715975175998646620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,Solar Myth,"1131 S Broad St, Philadelphia, PA 19147, USA",,solarmythinfo@gmail.com,http://www.solarmythbar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDhupU0WWDI7s_MVAiiAyMXzq8ktoRaJF0iJpY73WUUtpnUnEYxVOcKmD_3wLZAPg4-6U3_nJ268RSeaMcdDfsP2FUd2sEalRIzr6wB7WHBkv4d3j9QqcebOFrhFNzpHGqlf2UeNLWWVlVZrcE=s4800-w640,4.7,265,https://maps.google.com/?cid=3400536029599295407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,Imperium Solar,"2443 E Somerset St, Philadelphia, PA 19134, USA",(267) 662-4454,info@imperiumlc.com,http://www.imperiumsolars.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBqQ0vsU6nUZDc93cC3jCXSnRbQd5cDPn8yJeY7rDSAUGkiK82ronxS3LbK4LHtYq9PP9KQpHUunU-qvPuRdEPqpB4jdJJa7Fg5lYActyDTtKA8nnW4Txd7DD4SemvkkyEPeO10dUVGlZ_nGQ=s4800-w640,4.5,16,https://maps.google.com/?cid=4222151945516435672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Philadelphia,The Energy Co-op,"50 S 16th St Fl 17, Philadelphia, PA 19102, USA",(215) 413-2122,info@theenergy.coop,http://www.theenergy.coop/,https://lh3.googleusercontent.com/place-photos/AG9NLjDcXcU8vYGFS95DGq1XK8SJFz8Zd5Cy_ejjjRBICNj2LZFdc3IMdGhaBwaNDGtaqjRApIk1eaaRRIzTacQkywwKvHBewz3zvQU2RM9CBC0wKbQI9Q7MKLZlW4iItu07Iqt0uwaLBvnBb7RJz8I=s4800-w640,4.4,17,https://maps.google.com/?cid=8028830388671706421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,Connected Energy Solar,"2405 McNeilly Rd Ste A, Pittsburgh, PA 15226, USA",(412) 880-1849,,https://www.bestsolarpanelspittsburgh.com/?utm_source=google&utm_medium=maps&utm_campaign=gmb,https://lh3.googleusercontent.com/place-photos/AG9NLjAEh2iLd7zjkkUVYQptn6W_kI6W-ZnelgXqVLVtWfkSTftAw7XeFgeDCjqynodWfBpWQjC09S_WZTg6wi6gstiI6K8Oq3cj0wYe-fv8XAQHMBCeVay2NK1pftVBqeNlK-nrxPpXnpsVEyNjsYYDF9QuMg=s4800-w640,5,46,https://maps.google.com/?cid=8054174704384140602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Pittsburgh,Aveyo Solar,"8162 Perry Hwy, Pittsburgh, PA 15237, USA",(385) 469-3838,info@aveyo.com,https://aveyo.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjB0MsKAe-9RhdmxN2PpryyB0scijf0uKTH-NTiaHjUiR9JRP8I0Leq_zuacQsNZsFRWisEZA-tHKpca_5MCuhNvwt5bEGvsKUYaM9GShENN73O13E3Bmh4FEMwOdyYbg1WRLtRjs89oXb7eOdhewe77=s4800-w640,5,13,https://maps.google.com/?cid=7181624411330398177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Pittsburgh,Green Rack Solar,"1418 Parkway View Dr, Pittsburgh, PA 15205, USA",(412) 822-9947,info@greenracksolar.com,http://www.greenracksolar.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD7tL9qixqYzQ5vmeGLI9a0el_p_prD8j9-Wa7dnrMlGJq8GnCBEQYONKSc9rCxV5mZbaiq4lVSmv-fGi9phnuK1zmPxbbEuQI1y8-MA1QYmjPWxEeja7oWiLAr0mtt1SfDlCNWmzkEYe6o=s4800-w640,4.9,58,https://maps.google.com/?cid=7209509097875467621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
Allentown,Ace Hardware Home Services,"1820 W Fairview St, Allentown, PA 18104, USA",(610) 713-8218,,https://www.acehardwarehomeservices.com/offices/lehigh-valley,https://lh3.googleusercontent.com/place-photos/AG9NLjDB45dRsrq-vEPBf3QpUgwa4_FBd2JsPPKjAUKj0_z49lyuQgyTzWpT7pBZAht7wF08Lp6xDieHfc4aqL4D59SiZ-dPGlL-GK6piJZCx-ZyyT4rIDdo-WAhOpO0b-4lgGn0AzFVtrvqvhZB5MRAiJpN=s4800-w450,4.9,1861,https://maps.google.com/?cid=10237331127443390862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-08-27
Allentown,Bright State Energy,"4536 Hamilton Blvd, Allentown, PA 18103, USA",(610) 756-8733,info@brightstatesolar.com,https://brightstateenergy.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDhtbwkLc8Y1FaW0krTNzWJblVuroAX6DqjBEoYH3yXbLUvqS5kmKwtgK7w9D3UN_4tI8xdbJyYvPwwJqs7IONFDcZ9dHffNBHcmgZ6x-_rh3_uoYtpST8kD__cvli16NxahDEiJSuSCzn99ZP7ggNWug=s4800-w640,4.7,15,https://maps.google.com/?cid=5838087286055930043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-08-27
