City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Abbotsford,CSK Electric Inc,"Mount Lehman Rd, Abbotsford, BC V2T 0A8, Canada",(778) 766-3936,,https://cskelectric.ca/?utm_campaign=gmb&utm_medium=organic&utm_source=google,https://lh3.googleusercontent.com/place-photos/AG9NLjDPOJLZ4tEhKUCv5hJ09SD4Iyr9cYC6P6n3yxIrz1bqaVi0mIG9r5nxaQd5wY-FRmwGL7aDTyx-jIC7nnzVRB1syEj79x1XvYhXOrCwbht4rlicxNrQ-PxlV_jKsbUf3Q3eNmy7IM-JoWqWUoSVhvQ8=s4800-w640,5,309,https://maps.google.com/?cid=152324462873954309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-07-21
Abbotsford,Harder Power Company,"33790 Industrial Ave, Abbotsford, BC V2S 7T9, Canada",(604) 229-4622,josiah@harderpowerco.com,http://www.harderpowerco.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjBnIg7-vOQgsUUekxuGdoJt4vz6riD2RBCT0XggImO3Y3yz23OIOl8HOnUiSwi17-XFG5mO0_T3SVfqHu3ttG5QSY7Ea6PGAtbz5ZQH39-RZR-EE1JDjs9ZBE4EaUdwvHHwLevHW8ibsEHZ5m4=s4800-w640,5,180,https://maps.google.com/?cid=12613301009264002458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Abbotsford,Triton Electric,"South Fraser Way, Abbotsford, BC V2T 1X1, Canada",(604) 300-4215,info@triton-electric.ca,https://triton-electric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjAE9gps4BgD7j_7wBI3foxerIHxRZpEV8BHwFddc7ZAlnhiRaxyD4RzNET4Wsv2CT1WH3tB6VKIxNOv9pKSFUjGJ6jApsKihkEApoAxGI_BuGMO_p27f74-fVocOQhud9UxAZL-tV1Vd_PS3ZTSAthaCQ=s4800-w640,5,100,https://maps.google.com/?cid=14087586637590473502&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Abbotsford,Eclipse Solar Image Ltd,"31251 Peardonville Rd #1, Abbotsford, BC V2T 6K9, Canada",(604) 855-9635,,http://www.eclipsewindowtint.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjD-NJTTkC-_aoBUXoh8FgdwWbPXLdxa0yrqo6rqVwdfCfxtiVNzwGhsLoXJrY_xY3Ws52SRRYkLbwMk40Zqq2MZLhoxiDeNOOZ7UUSSx2ECZM0KJfNZonBKd-QKEqHhuH6SJhJXNvi5olaV9vPavy6X5g=s4800-w640,4.9,738,https://maps.google.com/?cid=1627379632390067235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Burnaby,ERM Electric Ltd.,"9623 Manchester Dr, Burnaby, BC V3N 4Y8, Canada",(604) 440-4892,,https://ermelectric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjD-_LL6ss7hWEoxPzBp0aR0WRgSFzmpGlPAfeqdouuI5athEkTNxIIljsSj4WsVIxJgFQS7LuoKBCxSmFo_IorjDxtk-rp-OuYuq6vO0LoOAJ4sqG6tWZDnpE92ziIpFnojQc0jF8dz0jUftnfbj9goOw=s4800-w640,5,127,https://maps.google.com/?cid=13272500035305234644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-07-21
Burnaby,Trigger Electric Ltd.,"2133 Douglas Rd Unit 2901, Burnaby, BC V5C 0E9, Canada",(778) 719-4010,info@triggerelectric.ca,https://triggerelectric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjCATGMoIHls_PTdoMwC-3zRZjNzFJq1rb0fdkhklOvhdlbdDUYahUqdRnb2HEcUJdkTfa_aLwNe_ELEhXs9ZxbN05i5PzfGUqxupZFRw-qRGekeAnWB4sYjrHTSTGuq20dC910ghl0VMiwOeHF7Gd1dzA=s4800-w640,5,89,https://maps.google.com/?cid=13536793057687284525&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Burnaby,Zeus Electric & Controls Inc,"2288 Alpha Ave, Burnaby, BC V5C 0L9, Canada",(236) 705-6287,,https://zeuselectric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjC7Qd2ItMK6LuNkCGv-T3Yur6O1v2Zx4FAYTc9c-ZVWSpl-zH651s5EfnrXaCXUGDyl4-f2bqleEefwhoWe16w6P_5AqSMrfKh70JyAT8lz6b1AW6HT-YdmOyZqI21OIPpfZGlXGDEtATa194UXAio4=s4800-w640,5,57,https://maps.google.com/?cid=10196687484266201014&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Burnaby,Burnaby Electric Ltd.,"8151 19th Ave, Burnaby, BC V3N 1G4, Canada",(604) 809-0979,info@burnabyelectric.ca,https://burnabyelectric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjCKhy1L7sQIQUsPko7uURXtdnxPxw5MNjTIy4-EgXvxBa7g6QIu49W5l6SfRQBXBeUAja4XZ9ZCqrV0shWvNcQrBp9dvHAiXChMyFLn-2baWR0r8Yk6HNHUdgkY476XqVKlFA9d7KX2KFgVPNQ=s4800-w640,5,50,https://maps.google.com/?cid=5153945462683092847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Burnaby,Amray Solar,"3159 Underhill Ave, Burnaby, BC V5A 3C8, Canada",(604) 559-4998,,http://amray.solar/,https://lh3.googleusercontent.com/place-photos/AG9NLjBhCalxKfvfHx5cp-wc9MnLzlTLTnqvOJ2MbetBxZZ-v1IgCt2_F0-4QqYKjXyWVaggM2XyWIGUM_cjbAFSoG5knCmazrZ7CWOBHRuLoRe9P0GtUF1E9Mvv3qDoQHh2vNr4tjchnkakk7LzR7Q=s4800-w515,5,12,https://maps.google.com/?cid=12772111186908704913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-07-21
Chilliwack,Taurus Electric - Chilliwack Electrician,"46616 Arbutus Ave, Chilliwack, BC V2P 6P4, Canada",(604) 997-8653,tauruselectricltd@gmail.com,http://www.tauruselectric.ca/,https://lh3.googleusercontent.com/place-photos/AG9NLjC7keTGjHFMYheyY10wcbY-4SgGYw944aLnM1kpXtD30npfsRNWJuzKviEFafCdO5_sXt-W-InvoJD3U7SblxUrw6EMPQhkpsF9rOUHh9GjTZFqR66mqMye0iKQlPCSkK3eZZPthjfRYtDw=s4800-w640,5,93,https://maps.google.com/?cid=5918778203161484983&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-07-21
