City,Business Name,Address,Phone,Email,Website,Image URL,Google Rating,Review Count,Google Maps URL,HomePowerRebate Recommended,Notes,Last Updated
Burlington,Green Heat,"38 Pinehurst Dr, Jericho, VT 05465, USA",(802) 424-8687,,https://greenheatvt.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjA2MQAh_dVlUSYiaIvPK7XPLcd2eHeizWNF2karpe5q8j26EOqh86d2js46okFBZr0oF3YHa4g_8KWkHXhptv6BJeBP_I9fX4UyyTzzCqsb6gHNUGddJClcucLZh1rZ1gZz3WCHPuPogIsA91mycHgw=s4800-w640,5,515,https://maps.google.com/?cid=5559935331834554980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Burlington,Lloyd Plumbing Heating Air Electrical,"338 Commerce St Ste 20, Williston, VT 05495, USA",(802) 426-2092,info@calllloyd.com,https://calllloyd.com/?utm_campaign=google_business&utm_source=google_business,https://lh3.googleusercontent.com/place-photos/AG9NLjD-bG4wz9T2m6bn6F6IdTsoRJDFraMNTJuEYYW3ceX7WAzcZXsqILpRDkU17cttqBHrNHn-YKXXoHbfrgJ8pvPYWUqt8nzYP-l6YT37pGKxI1HNGDI_bYO9pMRiE2c6UEYyZLM2tpDLvBv76YHEPFto9g=s4800-w640,5,309,https://maps.google.com/?cid=4858702226907124389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burlington,"A Cooper Mechanical, Inc.","171 Leroy Rd, Williston, VT 05495, USA",(802) 655-9191,,http://www.coopervt.com/,,5,43,https://maps.google.com/?cid=14051737285411612432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burlington,Climate Systems,"177 Avenue C #110, Williston, VT 05495, USA",(802) 660-9969,contactus@climatesystems.com,http://www.climatesystems.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjD10l2ZeR8VQpJ9cM-a6WjK9qcWTFrHWdY8vMa7cYUsCoZJ3MIuHn83zo6RUkQ_EZsF3sTZMfSH3NjE2ApTSI8Y5tcq05fxKfxeQ-QFoMIbdvz-ulMcb3EAUh144FiEsgEzaCUStiqeg00h4Mw=s4800-w640,5,15,https://maps.google.com/?cid=2473638333865090823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Burlington,Call The Whale (Plumbing Heating Air Electrical),"4735 Williston Rd #30, Williston, VT 05495, USA",(802) 430-6377,info@callthewhale.com,https://callthewhale.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://lh3.googleusercontent.com/place-photos/AG9NLjBZgphPQRikam1RdJBkTiAmnDPTA4XstMD9pCg5asCI_WbGEvmMtv4IJX45ISUHBXF6ja0edFX8zdH0GLN0JtmqyqUdifgEZmvHuocUjkj0bMyBZpvUC3vcDLopCv3x7MCHYayAuNGvVrcV_FrYVDyL2Q=s4800-w640,4.8,613,https://maps.google.com/?cid=1773387048196231772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
South Burlington,Air Systems Inc,"1 Green Tree Dr, South Burlington, VT 05403, USA",(323) 471-6524,,,,4.8,22,https://maps.google.com/?cid=7779886987821165716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
South Burlington,"Benoure Plumbing, Heating & Air Conditioning","34 Commerce Ave, South Burlington, VT 05403, USA",(802) 864-7156,info@benoure.com,http://www.benoure.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjAkzf31UZjvFzDjVEL1VZ17ntxANIG7JA6JUTngZkmeW1XY-y8lHKMlO7rxIPbFLT0_2PUg685WTxvb3FRR0jae-yDt9PxJz7ngtfdLrYtbomh5AIMlx7Q1HZYAWcj6EUfqSU1cRf4CRdnXVjAHxNTymQ=s4800-w640,4.4,243,https://maps.google.com/?cid=804778085063114608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
South Burlington,E & M Mechanical Inc,"41 Commerce Ave, South Burlington, VT 05403, USA",(802) 658-1222,rmillette@eandmvt.com,http://www.eandminc.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjC5hvGvHhAokdSqIP6SZJPbrDoLKPrTbyzwK7dB7PPF6E2TSVzAhvIkn6AJ1bHQQ4S7qcS3Vmr_o5STbvDMPThyMZ8uwiDEYNPNYHNJnHzurAdEv01adMS4V20U_ZGqazmDrqs_ulluifnvgQ=s4800-w591,4.4,25,https://maps.google.com/?cid=17985880446375122504&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Rutland,HEAT Squad HEAT Squad,"110 Marble St, West Rutland, VT 05777, USA",(802) 438-2303,,https://heatsquad.org/contact/,https://lh3.googleusercontent.com/place-photos/AG9NLjCYIbS3ecUZsd66a9FnNqGwoumtNZXpr7nZdMf58EUDBOfsDDmRpe3FMUnBvCLS0KalJMq6t1QxebnvevEAMlA8rwic9en7rHRvRTtihe9g3VSg7-KI1bv1p_XR78acsWqq1kvhnD_W261_Yg=s4800-w640,5,11,https://maps.google.com/?cid=9640869967479322869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Rutland,The Gas Doctors,"25 Curtis Ave, Rutland, VT 05701, USA",(802) 779-6090,info@thegasdoctors.com,https://thegasdoctors.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjBsysFLundcTth0l9JROFpO7hauuk3D_tt3miGJYQ3E6gfyHismotOsX30rXX_JyA2dKEy08rfginpZwknd5CZPCJ0KbcKL6FlzloiR9fVRHj2bMjub6BolPZok4KDfZStaivPlQYRnH82sTyMnYC4LjA=s4800-w640,4.9,72,https://maps.google.com/?cid=2264439385178829162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Rutland,Jim Manley Plumbing & Heating,"782 Main St, West Rutland, VT 05777, USA",(802) 438-2363,,,,4.8,15,https://maps.google.com/?cid=15875246030363043970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Rutland,Bernie's Plumbing & Heating,"204 Lincoln Ave, Rutland, VT 05701, USA",(802) 775-2893,,,,4.3,41,https://maps.google.com/?cid=17911860046979894191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Rutland,Rutland Heating & Air Conditioning,"81 Center St, Rutland, VT 05701, USA",(833) 943-0673,,,https://lh3.googleusercontent.com/place-photos/AG9NLjANxZLwODUzU89CKXG1THdZNu12uij9ireDthQSItSFCTnVKETTZHtKrS-9LaiOT3e6XjPYmJPEKprBFLvzxC4QeWVj3ouiHliPti1HsSrJ6DMJYDclTQD3l1JKM2xT9IenWNWNatcQuFK12w=s4800-w640,4.3,12,https://maps.google.com/?cid=12869501965376701725&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Barre,Rowell Plumbing & Heating LLC,"672 US-302, Barre, VT 05641, USA",(802) 522-0117,info@rowellplumbingheating.com,https://rowellplumbingheating.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDUpylsRIEIV3jzJPQOCjlD7Eo7PLJmuLpEgCWuhxfp7zHyVFDYTAMvPg0EFIYNyuIc7ObeCc7pw6qFmgxz4fZDDSmAivtnp1viMwciHDXajD_XwEC_Tz8AGHFAC0_yB8c5gvc7HL2T40kqjB-3bDm5RQ=s4800-w640,5,63,https://maps.google.com/?cid=12848790534879007085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
Barre,D M Furnace Man,"37 Spring Hollow Ln, Barre, VT 05641, USA",(802) 249-2814,,,,4.9,16,https://maps.google.com/?cid=12837970851231631370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Barre,J A Gould Plumbing & Heating Inc,"61 Boynton St Suit B, Barre, VT 05641, USA",(802) 476-6974,,https://www.jagouldplumbingandheating.com/,https://lh3.googleusercontent.com/place-photos/AG9NLjDx1STgNYC5PoNhS0sOwA6VyywDbOdJl96ylJkdKQqblSAQVVA-ipaZTevP8UtTcQ9niWXxFdW_cLgVH_7n4kFZoawcSWrEDpkit-3nmyJTGxgkQNBJ2IUmTKzgUU9Cyq_iaHtyM4Nm8CGNkA=s4800-w640,4.7,66,https://maps.google.com/?cid=11244028236754353109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,No,,2026-09-02
Montpelier,Lloyd Plumbing Heating Air Electrical,"26 Gallison Hill Rd, Montpelier, VT 05602, USA",(802) 426-2092,info@calllloyd.com,https://calllloyd.com/?utm_campaign=google_business&utm_source=google_business,https://lh3.googleusercontent.com/place-photos/AG9NLjDt3sOETffnL3vik_0oFdJUBaYT0We1ZIbsnibKnN9WtvY45gPUmyyJPwaN-9z4UyQ3P9MqLANJpH_-TMeonMxRSTaSq_MLQN5-HZTZLvvYLkKsHtzKdTsAMjOKHGhU2PgzyAhe2BOWAl-8TVRiJcs5-Q=s4800-w640,4.8,988,https://maps.google.com/?cid=6926704612093612621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Yes,,2026-09-02
