state,category,data_type,source_url_1,source_url_2,source_url_3,verified_date,notes
CA,Heat Pump,Rebate Amounts,https://www.ladwp.com/rebates,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://dulocore.com/rebates/california/ladwp/,2026-08-17,LADWP $2500/ton confirmed. HEAR single-family closed Feb 2026. TECH program active through CEC.
CA,Heat Pump,Rebate Amounts,https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://dulocore.com/rebates/california/smud/,2026-08-17,SMUD $3000-4000/ton confirmed. My Energy Optimizer bonus $10k for storage enrollment.
CA,Heat Pump,Rebate Amounts,https://www.bayren.org/find-incentives,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://dulocore.com/rebates/california/pge/,2026-08-17,PG&E rebates $250-500 (needs specific verification). Bay Area SunShares for installer discounts.
CA,Heat Pump,Rebate Amounts,https://www.sdge.com/rebates,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://dulocore.com/rebates/california/sdge/,2026-08-17,SDG&E rebates $250-500. SGIP battery program available.
CA,Heat Pump,Rebate Amounts,https://electrifyatlas.com/utilities/sce,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace,2026-08-17,SCE TECH Clean CA $3100 base confirmed. Stacks with HEEHRA.
CA,Installation Costs,Average Cost,https://www.energysage.com/heat-pumps/costs-and-benefits-air-source-heat-pumps/,https://hvacpricingguide.com/heat-pump-cost/,https://homeenergybasics.com/heat-pumps/cost,2026-08-17,National average $15400 confirmed. Ducted systems $12-18k. Air source $4-8k base. Statewide CA average $19844 before incentives.
CA,Solar,Installation Costs,https://community.powmr.com/2026/03/23/solar-panel-installation-cost-in-2026-real-numbers-by-system-size-roof-type-and-region/,https://www.consumeraffairs.com/solar-energy/how-much-do-solar-panels-cost.html,https://www.energysage.com/local-data/solar-panel-cost/,2026-08-17,CA mid-cost tier $2.60-2.90/W. 6kW typical $15-21k. Regional variation significant (37% difference noted).
CA,Solar,Net Metering,https://energyrebatecalculator.com/rebates/california,https://rebateatlas.org/states/california/,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,2026-08-17,NEM 3.0 in effect. Reduces export compensation significantly vs NEM 2.0. No federal ITC after 12/31/25.
CA,Water Heater,Rebate Amounts,https://plumbingsniper.com/state-water-heater-rebates-2026-what-each-state-actually-pays/,https://goldenstaterebates.com/goldenstaterebates/rebates/heat-pump-water-heaters/,https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs,2026-08-17,Golden State Rebates ended 7/31/26. TECH/utility rebates primary source now. Federal credit repealed mid-2025.
CA,EV Charger,Rebate Amounts,https://qmerit.com/locations/california/,https://www.digitalwindmill.com/sustainability-policy/electric-vehicle-incentives-by-state,https://eviqo.io/pages/ev-charger-rebates,2026-08-17,LADWP up to $1500 confirmed. 14+ CA utilities have programs. Federal 30C ended 6/30/26.
