City,State,Utility,HDD,Climate_Region,Heat_Pump_HVAC_Rebate,Heat_Pump_Rebate_Note,Heat_Pump_Typical_Cost,Heat_Pump_Annual_Savings_Dollars,Heat_Pump_Payback_Years,Heat_Pump_Water_Heater_Rebate,Water_Heater_Cost,Water_Heater_Annual_Savings,Water_Heater_Payback_Years,Solar_Rebate,Solar_Typical_Cost_5KW,Solar_Annual_Savings,Solar_Payback_Years,Battery_Rebate,Battery_Typical_Cost,Battery_Annual_Value,Battery_Payback_Years,Home_Insulation_Rebate,Insulation_Typical_Cost,Insulation_Annual_Savings,Insulation_Payback_Years,Windows_Rebate,Windows_Typical_Cost,Windows_Annual_Savings,Windows_Payback_Years,EV_Charger_Rebate,EV_Charger_Typical_Cost,EV_Charger_Annual_Value,EV_Charger_Payback_Years,Smart_Thermostat_Rebate,Thermostat_Typical_Cost,Thermostat_Annual_Savings,Thermostat_Payback_Years,Electricity_Rate_2026,Natural_Gas_Rate_2026,Primary_Source_1,Primary_Source_2,Primary_Source_3
Los Angeles,CA,LADWP,2200,Coastal Mediterranean,$2,500/ton (ductless) $1,250/ton (central),$7,500 for 3-ton,$10000-13000,$450-650,15-18,$750-1,200,$3500-5000,$300-400,10-14,$0,"$11,500-14,000",$700-900,15-20,$0 (SGIP if low-income),"$13,000-16,500",$250-400,35+,$0,"$2,500-4,000",$200-300,10-15,$0,"$4,500-7,000",$150-250,25-35,$300-500,"$1,500-2,200",$300-450,4-7,$75-100,$250-350,$100-125,2-3,"$0.19-0.22/kWh","$1.20-1.50/therm",https://www.ladwp.com/rebates,https://homeupgradespecialist.com/ladwp-rebates-2026-heat-pump-hvac-los-angeles/,SGIP/CPUC
Sacramento,CA,SMUD,3100,Hot-dry inland,$3,000 (gas-to-electric),$1,000 for electric-to-electric,$9500-13000,$500-700,14-19,$4,000 (gas-to-electric),$3500-5500,$350-450,8-13,$0-500,"$11,500-14,000",$600-800,16-21,"$10,000 + $440/yr (Tesla)",$13000-16500,$600-1000,12-18,$0,"$2,000-3,500",$200-350,8-15,$0,"$4,000-6,500",$150-250,20-35,$300-1000,"$1,400-2,100",$300-450,3-5,$75-100,$250-350,$100-150,2-4,"$0.16-0.18/kWh","$1.20-1.50/therm",https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps,https://www.smud.org,https://dulocore.com/blog/smud-home-energy-rebates/
San Francisco,CA,PG&E,2800,Coastal Mediterranean,$1,000 ($1000-4500 if TECH available),TECH Clean CA if available,$10000-13000,$350-500,20-29,$3,200,"$3,500-5,500",$250-350,11-18,$0-4336 (solar water heating only),"$11,500-14,000",$600-800,16-21,$0 (SGIP if low-income),"$13,000-16,500",$200-400,35+,$0,"$2,500-4,000",$150-300,10-25,$0,"$4,000-6,500",$150-250,20-35,$250-500,"$1,500-2,200",$300-450,4-7,$75-500,$250-350,$100-150,2-4,"$0.22-0.26/kWh","$1.40-1.80/therm",https://www.pge.com/rebates,https://energyrebatecalculator.com/utility/pge,https://www.bayren.org/find-incentives
San Diego,CA,SDG&E,1700,Coastal Mediterranean,"$1,000-3,000 (TECH) $200-500 (equipment)","$7,500-8,000 if income-qualified",$10000-13000,$300-450,22-33,$200-500,"$3,500-5,500",$200-300,15-20,$0,"$11,500-14,000",$800-1000,12-16,$0 (SGIP if low-income: $150-1,000/kWh),"$13,000-16,500",$250-400,35+,$0,"$2,000-3,500",$100-200,15-30,$0,"$4,000-6,500",$100-200,25-50,$250-500,"$1,500-2,200",$300-450,4-7,$75-100,$250-350,$75-100,3-5,"$0.21-0.24/kWh","$1.20-1.50/therm",https://www.sdge.com/rebates,https://energyrebatecalculator.com/utility/sdge,https://www.cpuc.ca.gov/sgip
Riverside,CA,SCE,2300,Desert/foothill,"$2,500-3,000","$6,500 supplemental if income-qualified (zero-cost)",$9500-13000,$400-550,17-27,$2,000,"$3,500-5,500",$300-400,9-15,$0,"$11,500-14,000",$800-1000,12-16,$0,"$13,000-16,500",$250-400,35+,$0,"$2,000-3,500",$250-350,6-12,$0,"$4,000-6,500",$200-300,15-25,$500-1000,"$1,400-2,100",$300-450,3-5,$75-120,$250-350,$100-150,2-3,"$0.18-0.21/kWh","$1.20-1.50/therm",https://www.sce.com/save-money/rebates-financial-assistance,https://energyrebatecalculator.com/utility/sce,https://dulocore.com/blog/sce-rebate-programs/
Fresno,CA,Central Coast Energy,3200,Hot-dry inland,"$1,500-2,500","No current info; contact utility",$9500-13000,$450-600,16-24,$1000-1500,"$3,500-5,500",$300-400,10-15,$0-500,"$11,500-14,000",$700-900,14-19,$0,"$13,000-16,500",$250-400,35+,$0,"$2,000-3,500",$250-350,7-12,$0,"$4,000-6,500",$200-300,15-25,$300-600,"$1,400-2,100",$300-450,4-6,$75-100,$250-350,$100-150,2-4,"$0.15-0.17/kWh","$1.10-1.40/therm",Direct utility contact recommended,https://energyrebatecalculator.com,https://dulocore.com
Oakland,CA,PG&E,2700,Coastal Mediterranean,"$1,000 ($1000-4500 if TECH available)",Use San Francisco template,$10000-13000,$350-500,20-29,$3200,"$3,500-5,500",$250-350,11-18,$0-4336,"$11,500-14,000",$600-800,16-21,$0,"$13,000-16,500",$200-400,35+,$0,"$2,500-4,000",$150-300,10-25,$0,"$4,000-6,500",$150-250,20-35,$250-500,"$1,500-2,200",$300-450,4-7,$75-500,$250-350,$100-150,2-4,"$0.22-0.26/kWh","$1.40-1.80/therm",https://www.pge.com/rebates,https://energyrebatecalculator.com/utility/pge,https://www.bayren.org/find-incentives
San Jose,CA,PG&E,2900,Coastal Mediterranean,"$1,000 ($1000-4500 if TECH available)",Use San Francisco template,$10000-13000,$350-500,20-29,$3200,"$3,500-5,500",$250-350,11-18,$0-4336,"$11,500-14,000",$600-800,16-21,$0,"$13,000-16,500",$200-400,35+,$0,"$2,500-4,000",$150-300,10-25,$0,"$4,000-6,500",$150-250,20-35,$250-500,"$1,500-2,200",$300-450,4-7,$75-500,$250-350,$100-150,2-4,"$0.22-0.26/kWh","$1.40-1.80/therm",https://www.pge.com/rebates,https://energyrebatecalculator.com/utility/pge,https://www.bayren.org/find-incentives
Berkeley,CA,PG&E,2800,Coastal Mediterranean,"$1,000 ($1000-4500 if TECH available)",Use San Francisco template,$10000-13000,$350-500,20-29,$3200,"$3,500-5,500",$250-350,11-18,$0-4336,"$11,500-14,000",$600-800,16-21,$0,"$13,000-16,500",$200-400,35+,$0,"$2,500-4,000",$150-300,10-25,$0,"$4,000-6,500",$150-250,20-35,$250-500,"$1,500-2,200",$300-450,4-7,$75-500,$250-350,$100-150,2-4,"$0.22-0.26/kWh","$1.40-1.80/therm",https://www.pge.com/rebates,https://energyrebatecalculator.com/utility/pge,https://www.bayren.org/find-incentives
Fremont,CA,PG&E,2600,Coastal Mediterranean,"$1,000 ($1000-4500 if TECH available)",Use San Francisco template,$10000-13000,$350-500,20-29,$3200,"$3,500-5,500",$250-350,11-18,$0-4336,"$11,500-14,000",$600-800,16-21,$0,"$13,000-16,500",$200-400,35+,$0,"$2,500-4,000",$150-300,10-25,$0,"$4,000-6,500",$150-250,20-35,$250-500,"$1,500-2,200",$300-450,4-7,$75-500,$250-350,$100-150,2-4,"$0.22-0.26/kWh","$1.40-1.80/therm",https://www.pge.com/rebates,https://energyrebatecalculator.com/utility/pge,https://www.bayren.org/find-incentives
