region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
CA,Los Angeles,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Federal ITC expired 12/31/25. HEAR single-family closed 2/26. SMUD heat pump rebate $3000-4000/ton. Solar value reduced under NEM 3.0. EV charger through LADWP program, thermostat via utility rebates.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Long Beach,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Same utility as LA. HEAR closed Feb 2026. NEM 3.0 reduces solar export value significantly.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Burbank,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"Same LADWP service area. HEAR program exhausted by Feb 2026.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Pasadena,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP territory. No state solar rebates available 2026.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Glendale,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP service area.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Santa Monica,USA,LADWP,2100,"$2,500/ton",3-4-ton,"$13,000-$22,000",$800,18,"$0",6kW,"$15,000-$18,000",$1200,13,"$5,400",13.5kWh,"$12,000","$2,500",$0,$0,"$1,000",$75,"LADWP territory.","https://www.ladwp.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.ladwp.com","2026-08-17"
CA,Sacramento,USA,SMUD,2200,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD: heat pump $3k-$4k/ton, panel upgrade $2k, Powerwall $5.4k, HPWH $4k. My Energy Optimizer + storage enrollment bonus $10k. Stacks with federal.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Folsom,USA,SMUD,2300,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD service area.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Roseville,USA,SMUD,2300,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD territory.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,Rancho Cordova,USA,SMUD,2200,"$3,000-$4,000/ton",3-4-ton,"$13,000-$22,000",$900,14,"$2,000",6kW,"$15,000-$18,000",$1400,11,"$5,400",13.5kWh,"$12,000","$4,000",$1600,$0,"$600",$50,"SMUD service area.","https://www.smud.org/Corporate/About-us/News-and-Media/2026/2026/SMUD-boosts-rebates-for-heat-pumps","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.smud.org","2026-08-17"
CA,San Francisco,USA,PG&E,3200,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250","$50","PG&E serves Bay Area. Heat pump rebates $250-500 (needs verification). NEM 3.0 eliminates solar premium export comp. Bay Area SunShares provides installer discounts. Climate Equity Hub: free HPWH for income-qualified.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org/homeowners/income-qualified-programs","2026-08-17"
CA,Oakland,USA,PG&E,3200,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E territory. High HDD due to Bay Area hills. CalEnergy Smart Homes offer but 2026 funding fully subscribed.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,San Jose,USA,PG&E,2800,$250-$500,3-4-ton,"$13,000-$22,000",$1100,15,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E service area. Lower HDD than SF.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,Berkeley,USA,PG&E,3300,$250-$500,3-4-ton,"$13,000-$22,000",$1200,13,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E. Higher HDD reflecting elevation and latitude.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,Fremont,USA,PG&E,2600,$250-$500,3-4-ton,"$13,000-$22,000",$1100,15,"$0",6kW,"$15,000-$18,000",$1400,10,"$0",13.5kWh,"$12,000",$500,$1600,$75,"$250",$50,"PG&E service area. South Bay location has lowest HDD in Bay Area.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,San Diego,USA,SDG&E,1200,$250-$500,3-4-ton,"$13,000-$22,000",$600,22,"$0",6kW,"$15,000-$18,000",$1200,13,"$1,000+",13.5kWh,"$12,000",$250,$0,$0,"$500",$50,"SDG&E territory. Lowest HDD in CA. Heat pump rebates $250-500. SGIP battery rebates available. Minimal heating load limits savings.","https://www.sdge.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sdge.com/residential/savings-center/rebates","2026-08-17"
CA,Chula Vista,USA,SDG&E,1100,$250-$500,3-4-ton,"$13,000-$22,000",$600,22,"$0",6kW,"$15,000-$18,000",$1200,13,"$1,000+",13.5kWh,"$12,000",$250,$0,$0,"$500",$50,"SDG&E service area. Very low heating needs.","https://www.sdge.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sdge.com/residential/savings-center/rebates","2026-08-17"
CA,Escondido,USA,SDG&E,1200,$250-$500,3-4-ton,"$13,000-$22,000",$600,22,"$0",6kW,"$15,000-$18,000",$1200,13,"$1,000+",13.5kWh,"$12,000",$250,$0,$0,"$500",$50,"SDG&E territory.","https://www.sdge.com/rebates","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sdge.com/residential/savings-center/rebates","2026-08-17"
CA,Riverside,USA,SCE,1600,"$3,100 (TECH)",3-4-ton,"$13,000-$22,000",$700,20,"$0",6kW,"$15,000-$18,000",$1100,15,"$0",13.5kWh,"$12,000",$500,$0,$0,"$500",$50,"SCE/TECH Clean CA: $3100 base + enhancements for DAC/hard-to-reach. Stack with HEEHRA. Average install ~$19,844 statewide before incentives.","https://electrifyatlas.com/utilities/sce","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace","2026-08-17"
CA,San Bernardino,USA,SCE,1700,"$3,100 (TECH)",3-4-ton,"$13,000-$22,000",$700,20,"$0",6kW,"$15,000-$18,000",$1100,15,"$0",13.5kWh,"$12,000",$500,$0,$0,"$500",$50,"SCE service area.","https://electrifyatlas.com/utilities/sce","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace","2026-08-17"
CA,Ontario,USA,SCE,1600,"$3,100 (TECH)",3-4-ton,"$13,000-$22,000",$700,20,"$0",6kW,"$15,000-$18,000",$1100,15,"$0",13.5kWh,"$12,000",$500,$0,$0,"$500",$50,"SCE territory.","https://electrifyatlas.com/utilities/sce","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace","2026-08-17"
CA,Moreno Valley,USA,SCE,1700,"$3,100 (TECH)",3-4-ton,"$13,000-$22,000",$700,20,"$0",6kW,"$15,000-$18,000",$1100,15,"$0",13.5kWh,"$12,000",$500,$0,$0,"$500",$50,"SCE service area.","https://electrifyatlas.com/utilities/sce","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace","2026-08-17"
CA,Fresno,USA,PG&E,2500,$250-$500,3-4-ton,"$13,000-$22,000",$1000,15,"$0",6kW,"$15,000-$18,000",$1200,13,"$0",13.5kWh,"$12,000",$500,$1600,$0,"$500",$50,"PG&E central valley territory. No SMUD. Moderate HDD.","https://www.bayren.org/find-incentives","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.bayren.org","2026-08-17"
CA,Bakersfield,USA,SCE,1400,"$3,100 (TECH)",3-4-ton,"$13,000-$22,000",$700,20,"$0",6kW,"$15,000-$18,000",$1000,18,"$0",13.5kWh,"$12,000",$500,$0,$0,"$500",$50,"SCE territory. Kern County. Low HDD.","https://electrifyatlas.com/utilities/sce","https://www.energy.ca.gov/programs-and-topics/programs/inflation-reduction-act-residential-energy-rebate-programs","https://www.sce.com/save-money/rebates-financial-assistance/rebates-sce-marketplace","2026-08-17"
