region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
MA,Boston,USA,Eversource,5550,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Mass Save primary source. Whole-home $2650/ton, partial-home $1125/ton, basic $250/ton (R-32/R-454B only, R-410A banned as of 1/1/26). HPWH $750. Insulation 75% covered, income-qual 100%. Mass Save covers attic/wall/basement/air-seal. SMART solar waiting list depends on utility block availability. Heat pump water heater 0% HEAT Loan available up to $25k. EV charger via utility.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Worcester,USA,National Grid,5700,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"National Grid MA service area. Higher HDD than Boston. Same Mass Save program statewide.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Springfield,USA,Eversource,5600,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource central MA territory.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Cambridge,USA,Eversource,5550,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource service area near Boston.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Lowell,USA,Eversource,5650,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource north-central MA.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Brockton,USA,National Grid,5500,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"National Grid south-central MA.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,New Bedford,USA,Eversource,5400,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource south coast.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Quincy,USA,Eversource,5500,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource south of Boston.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Lynn,USA,Eversource,5550,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"Eversource north shore.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
MA,Fall River,USA,National Grid,5450,"$2,650/ton ($8,500 cap)",3-4-ton,"$18,000-$25,000",$1600,12,"$0 (SMART waiting list)",6kW,"$16,000-$20,000",$1500,11,"$2,500",13.5kWh,"$12,000","$750",$1600,$75,$0,$100,"National Grid south-central MA.","https://nuwattenergy.com/en/massachusetts/mass-save-rebates-guide-2026","https://www.masssave.com/residential/rebates-offers-services/insulation-and-windows/windows","https://www.masssave.com","2026-08-17"
