region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
on,Barrie,CA,Barrie Hydro,5200,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Barrie Hydro,ON,Barrie,2026-08-17
on,Brampton,CA,Alectra Utilities,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Brampton,2026-08-17
on,Cambridge,CA,Kitchener-Wilmot Hydro,5100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Kitchener-Wilmot Hydro,ON,Cambridge,2026-08-17
on,Guelph,CA,Guelph Hydro,5000,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Guelph Hydro,ON,Guelph,2026-08-17
on,Hamilton,CA,Alectra Utilities,4700,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Hamilton,2026-08-17
on,Kingston,CA,Utilities Kingston,4900,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Utilities Kingston,ON,Kingston,2026-08-17
on,Kitchener Waterloo,CA,Kitchener-Wilmot Hydro,5100,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Kitchener-Wilmot Hydro,ON,Kitchener Waterloo,2026-08-17
on,London,CA,London Hydro,5000,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,London Hydro,ON,London,2026-08-17
on,Markham,CA,Alectra Utilities,4600,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Markham,2026-08-17
on,Mississauga,CA,Alectra Utilities,4500,"$5,000-$12,000",3-4 ton,"$12,000-$18,000","$800-$1,200",12-15,"$5,000",5-6 kW,"$18,000-$22,000",$600-$900,15-20,"$5,000",10 kWh,"$10,000-$12,000",$500,"$1,250-$7,700","$100-$2,000",$0,$100,Data sourced from official ON utility programs and government rebate resources. Income qualification varies by program.,Alectra Utilities,ON,Mississauga,2026-08-17
